time_step,variable,PCA_1
1,relative_humidity_150_std,-4.160606031685691
2,relative_humidity_150_std,-4.122891080449985
3,relative_humidity_150_std,-4.194306273073065
4,relative_humidity_150_std,-4.024700931832646
5,relative_humidity_150_std,-3.8953884176715254
6,relative_humidity_150_std,-3.757969047169467
7,relative_humidity_150_std,-3.5857563666815992
8,relative_humidity_150_std,-3.537212626829031
9,relative_humidity_150_std,-3.051586625297066
10,relative_humidity_150_std,-2.8417993899051956
11,relative_humidity_150_std,-2.8477633840049514
12,relative_humidity_150_std,-2.531915603276886
13,relative_humidity_150_std,-2.187546678263066
14,relative_humidity_150_std,-2.009652142204059
15,relative_humidity_150_std,-2.0533593080585475
16,relative_humidity_150_std,-1.8435381229613204
17,relative_humidity_150_std,-1.7208559112936102
18,relative_humidity_150_std,-1.2430117923983597
19,relative_humidity_150_std,-0.5367276131638986
20,relative_humidity_150_std,0.0024673344627073536
21,relative_humidity_150_std,0.7747076291442746
22,relative_humidity_150_std,1.4561313797946944
23,relative_humidity_150_std,2.063754172255974
24,relative_humidity_150_std,2.533030621385136
25,relative_humidity_150_std,3.0060252218472994
26,relative_humidity_150_std,3.356288061731593
27,relative_humidity_150_std,3.1416026778807282
28,relative_humidity_150_std,3.105791745779633
29,relative_humidity_150_std,3.6100151950765524
30,relative_humidity_150_std,4.049368763117315
31,relative_humidity_150_std,4.215592003502523
32,relative_humidity_150_std,4.321751704946213
33,relative_humidity_150_std,4.562563939695188
34,relative_humidity_150_std,4.620910476431034
35,relative_humidity_150_std,4.646098361349213
36,relative_humidity_150_std,4.6804880578199075
