,PCA_1
0,-0.05535188801440283
1,-1.4921391467408727
2,-2.1690847039158525
3,-2.6408360198740004
4,-1.8314947094053282
5,-2.3939830890794647
6,-2.2072122571856925
7,-2.240181405776789
8,-2.5223410142839073
9,-1.7794695659611834
10,-0.9916974399515426
11,-1.3305913922044597
12,-2.235047935393885
13,-1.714676718550854
14,-1.7134550602816574
15,-2.0854378824137827
16,-1.9209542367692054
17,-2.2578106659258235
18,-2.7741378618479584
19,-1.5476798833002943
20,-2.553640970663569
21,-2.0591673201772824
22,-1.9293422642650269
23,-2.8072795337654153
24,-1.9229482674458822
25,-2.344983938369708
26,-2.602019982620101
27,-1.66485693616332
28,-2.681246670534539
29,-2.0407453979486627
30,-1.8421751439104752
31,-2.4909633623124705
32,-0.35714711189705484
33,-1.612999589937174
34,-1.9012252807535273
35,-1.5758963799124281
36,-2.4812325496495258
37,-1.4730349741021536
38,-2.5009366324828344
39,-1.259625208344703
40,-2.4674343910912278
41,-2.8933555545942635
42,0.4719603930618008
43,-1.2736596112076175
44,-1.3369496376435401
45,-2.4202863266513623
46,-0.2050442404677013
47,-1.4725282415784542
48,-2.1977891712163364
49,-2.5297623081658713
50,-1.8308714946074371
51,-2.391556986168509
52,-2.2969049120672063
53,-2.272286409899329
54,-2.490851463548543
55,-1.8571715950211982
56,-0.9667757742291849
57,-1.4171942722598585
58,-2.113686972876687
59,-1.607524230430843
60,-1.6403457085067914
61,-2.136210342317028
62,-1.6147403052798928
63,-2.223941580743793
64,-2.7728090105520398
65,-1.4920878114259084
66,-2.5235828196271113
67,-2.0073147000594975
68,-1.962497890424845
69,-2.75333960344428
70,-1.9904796298268033
71,-2.339242735268029
72,-2.58565428420966
73,-1.5529268821396633
74,-2.6520417857689425
75,-1.9093272972088364
76,-1.722522262142912
77,-2.519573001878368
78,-0.35511590385934266
79,-1.8167796043402256
80,-1.9763302317841385
81,-1.6038812564725229
82,-2.418455448568949
83,-1.5607693700582115
84,-2.520306567232274
85,-1.3611530163795404
86,-2.41357525277769
87,-2.88468781074536
88,0.20150863834958987
89,-1.3681205631164643
90,-1.2827562493903493
91,-2.3721155486589414
92,-0.32009197780219556
93,-1.4385365220328994
94,-2.2913906232803614
95,-2.510418774435556
96,-1.8583279026196
97,-2.4437251351329103
98,-2.292090026204429
99,-2.1413952091283663
100,-2.463068648492069
101,-1.981196432590723
102,-0.8036040310781257
103,-1.4369029589745888
104,-2.0242942629068894
105,-1.5299728664460148
106,-1.5288555084992845
107,-2.196279994441029
108,-1.4902305730666847
109,-2.116360177918797
110,-2.77148172783519
111,-1.5170327002669406
112,-2.555143873122603
113,-1.9254039085340984
114,-1.9603344532087874
115,-2.6969176310158036
116,-1.744851412974974
117,-2.3277618976437395
118,-2.5764907675193784
119,-1.5164686229370412
120,-2.5737211865347716
121,-1.7208281967491086
122,-1.6813096601553186
123,-2.442195790912439
124,-0.17097001773738318
125,-1.8086557907472136
126,-1.9890606565335038
127,-1.6409409740776468
128,-2.3375285024290613
129,-1.6946415433071857
130,-2.4946872097630144
131,-1.529540794211737
132,-2.411097916407555
133,-2.8778788738347485
134,0.0503723783071528
135,-1.5131409944849274
136,-1.2226136685252496
137,-2.2995190611259515
138,-0.3501610274075049
139,-1.467298354510739
140,-2.3525435524058804
141,-2.439281676570821
142,-1.8458477171595258
143,-2.4952871403287613
144,-2.3270034591074635
145,-2.00309349081735
146,-2.438989493069819
147,-2.0805670369834632
148,-0.6766269443615808
149,-1.4136103746560604
150,-1.9390466759088472
151,-1.4589321241526203
152,-1.3722795384747963
153,-2.194850142950035
154,-1.4121866345120857
155,-2.1216724663154913
156,-2.760855704689673
157,-1.5327129907379886
158,-2.550635165745502
159,-1.8915877068749434
160,-1.8752841404925342
161,-2.6659176602901717
162,-1.8156932105517272
163,-2.3105383494521723
164,-2.6124952592058035
165,-1.6418314991941707
166,-2.5830137137606344
167,-1.5628596544504454
168,-1.5370616215654922
169,-2.4233402889839435
170,0.10795837900243144
171,-1.7687114154931054
172,-1.9744216784811073
173,-1.6772454310469451
174,-2.339040714506721
175,-1.7385087310996363
176,-2.5490498823286454
177,-1.6985472440738736
178,-2.318856361282307
179,-2.848782771046099
180,0.03374095852830483
181,-1.4512746063371957
182,-0.8756439786092072
183,-2.1488988228546835
184,-0.30505826784581025
185,-1.4561858885136278
186,-2.340063366945807
187,-2.436785639478806
188,-1.7428853518964895
189,-2.521978896601845
190,-2.4486006455581215
191,-1.9691358929593208
192,-2.4284924397175702
193,-2.1403383535171288
194,-0.5983039209597585
195,-1.3025195308051205
196,-1.8484696480001421
197,-1.4263718857905985
198,-1.0256223421030177
199,-2.105460610880688
200,-1.4062294971490514
201,-2.140931969024289
202,-2.750894860924915
203,-1.462865794517501
204,-2.608499416070578
205,-1.814936320223363
206,-1.822668437214739
207,-2.680797506899763
208,-1.8819004070027776
209,-2.2805579143786456
210,-2.6543901727169663
211,-1.6795674373470015
212,-2.508676531256082
213,-1.5475943244420212
214,-1.3728717280009854
215,-2.4057841001741056
216,0.24403750225824195
217,-1.7470475051552719
218,-1.9515081810181982
219,-1.7052302872358833
220,-2.250549448593456
221,-1.8239755117441114
222,-2.552175367792511
223,-1.5245876493082213
224,-2.242711646040956
225,-2.8023511805596426
226,-0.12534972893892093
227,-1.4419619320373251
228,-0.8776256847360616
229,-2.145507534537783
230,-0.609018538265901
231,-1.3045336270711783
232,-2.337567329853792
233,-2.433664819009832
234,-1.6212042770224107
235,-2.4601032395778004
236,-2.4251229485383727
237,-2.0370510886753794
238,-2.4272584161562376
239,-2.1679811983556996
240,-0.4410658883414923
241,-1.242196461491378
242,-1.7501978434303505
243,-1.4281482506575978
244,-1.0390257483861698
