time_step,variable,PCA_1
1,relative_humidity_1000_mean,5.097566917719431
2,relative_humidity_1000_mean,4.972637636678442
3,relative_humidity_1000_mean,4.823385221326374
4,relative_humidity_1000_mean,4.68209270229942
5,relative_humidity_1000_mean,4.532205182846462
6,relative_humidity_1000_mean,4.302966216233878
7,relative_humidity_1000_mean,4.067844193169565
8,relative_humidity_1000_mean,3.762088311700044
9,relative_humidity_1000_mean,3.3789948655801765
10,relative_humidity_1000_mean,2.989054751624671
11,relative_humidity_1000_mean,2.642002624481651
12,relative_humidity_1000_mean,2.200889230403871
13,relative_humidity_1000_mean,1.8198631253944952
14,relative_humidity_1000_mean,1.4607251213155619
15,relative_humidity_1000_mean,1.2002028233183648
16,relative_humidity_1000_mean,0.8826543814610152
17,relative_humidity_1000_mean,0.48775857711843373
18,relative_humidity_1000_mean,0.10469772216617945
19,relative_humidity_1000_mean,-0.2868648950516731
20,relative_humidity_1000_mean,-0.6656265207820871
21,relative_humidity_1000_mean,-0.875397074516454
22,relative_humidity_1000_mean,-1.1886576145838883
23,relative_humidity_1000_mean,-1.6074113295245354
24,relative_humidity_1000_mean,-1.983857725317853
25,relative_humidity_1000_mean,-2.474824561923976
26,relative_humidity_1000_mean,-2.9602496154348548
27,relative_humidity_1000_mean,-3.234088221984446
28,relative_humidity_1000_mean,-3.5611586643842923
29,relative_humidity_1000_mean,-3.870631008838163
30,relative_humidity_1000_mean,-4.107659675683578
31,relative_humidity_1000_mean,-4.347243164732089
32,relative_humidity_1000_mean,-4.404230950290327
33,relative_humidity_1000_mean,-4.438909220696843
34,relative_humidity_1000_mean,-4.396028345417464
35,relative_humidity_1000_mean,-4.492575433384546
36,relative_humidity_1000_mean,-4.512215582290946
