time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5
1,vertical_velocity_400_mean,-0.9051718252805389,3.2736795933317424,1.0394844921954098,-0.697914727466471,-1.271034924047632
2,vertical_velocity_400_mean,-1.36180887967934,3.0810621359183332,1.2988446588908626,-1.258297671570865,-1.6426980160568425
3,vertical_velocity_400_mean,-1.12280302569388,2.0943838633604264,1.1720548391300043,-2.7382173357193933,0.56686881503923
4,vertical_velocity_400_mean,-1.9060457817807455,2.5761626019497617,0.3488187296121749,-2.3662338726877916,0.11213910286897921
5,vertical_velocity_400_mean,-1.384604187992035,2.7382419999009033,-0.8915613322720944,-1.8936457592138756,0.4765562445040506
6,vertical_velocity_400_mean,-0.6259266252430647,2.827806580990875,-1.6816427418658058,-0.7896305420180233,1.406139928628115
7,vertical_velocity_400_mean,-2.2087331579531413,1.6079068762965545,-1.6779035798907462,-0.28888408986101355,0.28914322149090843
8,vertical_velocity_400_mean,-1.8288366366174886,1.9063188249027334,-2.657798270422702,0.03500928225819491,0.5342685750223614
9,vertical_velocity_400_mean,-2.0042801177164957,1.260061479924155,-3.519848614327183,0.8046483226098236,0.29029868885653654
10,vertical_velocity_400_mean,-2.6046083091718835,0.18236794839561601,-2.5439848503746787,1.3228102103657373,1.2276309302595882
11,vertical_velocity_400_mean,-2.673572509145861,0.12369984724019031,-2.6205447798386112,1.1150587019503142,0.8753100153781455
12,vertical_velocity_400_mean,-3.0630769757082237,-0.3629559845773982,-2.8908738334315434,0.71099361592906,0.16774174743005565
13,vertical_velocity_400_mean,-2.91619761286177,-1.1315740004405743,-2.0127813219959974,0.7574867441442716,-1.3900908605116735
14,vertical_velocity_400_mean,-2.3941110123772154,-0.7761615477042875,-0.9929812998283946,0.11624619298420599,-2.2626854941839283
15,vertical_velocity_400_mean,-2.2130085674119204,-0.013220894376141431,-0.8309336536735971,-0.23272019000853722,-1.6086419260226756
16,vertical_velocity_400_mean,-3.3912105287506376,-2.740570311937193,1.118295829355171,-0.2250805942819436,-1.0411810770691454
17,vertical_velocity_400_mean,-3.1425012393021974,-2.460553619235187,1.3658071673023684,0.09450317952427273,-0.6455890597937316
18,vertical_velocity_400_mean,-3.579125125549917,-3.4362693773018735,2.0254799036331623,-0.07947322466807312,-0.4604737920307161
19,vertical_velocity_400_mean,-3.7357778571852527,-3.642574477391192,2.4522354038472938,0.14053557659348623,-0.026507591502799643
20,vertical_velocity_400_mean,-3.5540889723981817,-3.7368043404304263,2.8690638834981668,-0.20978557227019015,0.357076027930192
21,vertical_velocity_400_mean,-1.835803066874262,-2.2516098282945904,1.8337425804138285,-0.4175635581070028,1.4379284057556685
22,vertical_velocity_400_mean,-0.21032796275060792,-0.7821974817886898,0.4266662013216794,0.42629246174481067,1.173286628008532
23,vertical_velocity_400_mean,0.4383662234164509,-0.927994152016842,0.4401589090640855,0.3809221666722496,2.781224766196408
24,vertical_velocity_400_mean,1.450363078550043,-0.1951695276084976,1.5484428215079302,0.7857316219403897,2.8014169248871355
25,vertical_velocity_400_mean,1.3829416362739244,3.787883719775058,3.8232829185633603,0.9084367942190095,0.022467569738271378
26,vertical_velocity_400_mean,1.8258897128322604,3.6684311472962565,3.4861913664678172,0.9208804839826288,-0.337337631816027
27,vertical_velocity_400_mean,2.0570966232597017,2.9772444542854615,2.4040041743560367,1.6799029744724043,-0.6828686127177686
28,vertical_velocity_400_mean,2.456248971031759,1.5600543229139432,0.29036567422635323,2.5228090063205646,-0.39366148822085006
29,vertical_velocity_400_mean,3.3221303804269025,-0.1989717976926476,0.26831703053821315,3.498171971533556,-0.13084225628717772
30,vertical_velocity_400_mean,4.540660009586563,-1.2284887687718142,-0.8259380731805119,1.8345445174969464,-0.8782446796334388
31,vertical_velocity_400_mean,4.745381943708625,-1.3902660581972575,-1.2581495150384547,0.08897072087963559,-1.134671461113295
32,vertical_velocity_400_mean,4.181392018653711,-1.4664698350648848,-1.720981367068498,-0.959956399006337,-1.2409371343175548
33,vertical_velocity_400_mean,5.149500832209535,-1.4056674110349574,-0.9799885794977533,-1.2814218709249636,-0.22301258024485737
34,vertical_velocity_400_mean,5.812091964106534,-1.861488607244435,-0.473369400372746,-1.1864757779253767,0.3176888927072996
35,vertical_velocity_400_mean,5.735117692007061,-1.7073588445456738,-0.31324268867879573,-1.5316703977844472,0.4352981882900291
36,vertical_velocity_400_mean,5.564438891381589,-1.9489385308274372,-0.31873268216580686,-1.9869829621072486,0.09799391257860939
