storm_number,variable,PCA_1
1,relative_humidity_600_mean,7.750631463544953
2,relative_humidity_600_mean,6.026300927128376
3,relative_humidity_600_mean,-0.9203138485635198
5,relative_humidity_600_mean,-4.353322733411028
6,relative_humidity_600_mean,-4.553423332110616
7,relative_humidity_600_mean,-3.0065477007990777
8,relative_humidity_600_mean,-4.838417444975342
11,relative_humidity_600_mean,-2.4059572287452813
12,relative_humidity_600_mean,-1.8330123151943511
13,relative_humidity_600_mean,-1.0042967620087953
16,relative_humidity_600_mean,0.9092607815670432
19,relative_humidity_600_mean,10.747422772983846
21,relative_humidity_600_mean,4.308941549695852
26,relative_humidity_600_mean,-2.965094666273794
27,relative_humidity_600_mean,-0.7994137172314445
29,relative_humidity_600_mean,1.353059964751495
31,relative_humidity_600_mean,-2.748629403430196
32,relative_humidity_600_mean,-3.5601319430705196
33,relative_humidity_600_mean,-1.8686207050738737
34,relative_humidity_600_mean,-0.1371825085742547
38,relative_humidity_600_mean,3.666814761863842
39,relative_humidity_600_mean,-1.27624762875351
43,relative_humidity_600_mean,5.118480408797963
44,relative_humidity_600_mean,-1.8544680661709159
45,relative_humidity_600_mean,-3.828662828067311
46,relative_humidity_600_mean,-4.5365490954636085
47,relative_humidity_600_mean,1.1394086867332152
48,relative_humidity_600_mean,-2.562706163403949
49,relative_humidity_600_mean,-2.632412240816308
50,relative_humidity_600_mean,-2.3537280338932054
51,relative_humidity_600_mean,4.131087391957633
53,relative_humidity_600_mean,-3.3005589880213053
54,relative_humidity_600_mean,-1.1675851865702687
56,relative_humidity_600_mean,1.4968840898072007
58,relative_humidity_600_mean,-2.3421902639888894
60,relative_humidity_600_mean,-3.887887436698899
61,relative_humidity_600_mean,-4.892333683855232
62,relative_humidity_600_mean,1.7291995928645738
63,relative_humidity_600_mean,-3.5541959604555085
64,relative_humidity_600_mean,-0.820588085175471
65,relative_humidity_600_mean,1.3273814448762138
66,relative_humidity_600_mean,7.406161374649573
67,relative_humidity_600_mean,-2.8278886785723434
68,relative_humidity_600_mean,13.381476232049124
69,relative_humidity_600_mean,2.1035363714466224
71,relative_humidity_600_mean,-3.046482275876534
72,relative_humidity_600_mean,-1.9003295839454093
73,relative_humidity_600_mean,4.956563411742403
76,relative_humidity_600_mean,-3.5394983832482296
77,relative_humidity_600_mean,-3.943845577303616
78,relative_humidity_600_mean,2.3755903897046604
79,relative_humidity_600_mean,-2.698239166012376
80,relative_humidity_600_mean,-4.893123407683283
81,relative_humidity_600_mean,-5.350545111773005
82,relative_humidity_600_mean,-4.445841105507942
83,relative_humidity_600_mean,-4.9034217964354365
85,relative_humidity_600_mean,2.551287728664186
86,relative_humidity_600_mean,28.469548322987475
87,relative_humidity_600_mean,-3.4943297315026642
89,relative_humidity_600_mean,5.537377191666758
90,relative_humidity_600_mean,-2.367733369704748
93,relative_humidity_600_mean,4.9134236930054955
95,relative_humidity_600_mean,-3.9840823941264247
