storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4
1,vertical_velocity_950_std,10.037472176769016,3.885390279591171,-4.212917217830222,2.662089143814575
2,vertical_velocity_950_std,3.371330413824695,-3.0469531736052424,0.0421764649659568,-0.7358364823287356
3,vertical_velocity_950_std,-0.7800452232690739,1.8957241284653574,-1.909799407716334,-0.35024245782787844
5,vertical_velocity_950_std,-3.9229552610516443,-0.4648856341621636,2.2075864027425096,-0.3685563562182745
6,vertical_velocity_950_std,-0.7848933292837288,0.5819356656246742,1.4826035479060278,-1.5127664429801466
7,vertical_velocity_950_std,4.3260896775925675,0.27659944634027855,-1.6139705763462813,1.0275692653681021
8,vertical_velocity_950_std,0.1584154836879487,1.7681215783345114,-0.2047549377690543,0.6997964546674164
11,vertical_velocity_950_std,-3.4300300999819124,0.6196530172259974,0.6291853056777302,0.06163054795698148
12,vertical_velocity_950_std,-4.327158580695781,-0.22874974819009303,0.38682908371909597,0.4454799682401656
13,vertical_velocity_950_std,-7.26889184913466,0.3078706356574561,1.102909504938618,1.016383419386002
16,vertical_velocity_950_std,-1.3000497404451605,0.5597353795744527,-1.026530879783862,0.8267971517279541
19,vertical_velocity_950_std,-3.9847587213876605,1.038302219363296,-0.5662662727414026,-0.752649589926611
21,vertical_velocity_950_std,-0.9967544555859043,0.660142564682605,-1.9192630597605962,-1.0086404362033052
26,vertical_velocity_950_std,-0.8898459381701824,2.156607554905226,-1.2254502980367574,-0.906271701980932
27,vertical_velocity_950_std,-6.3266162317363746,0.19309976937256995,0.3570632093122909,-0.20815945275537479
29,vertical_velocity_950_std,2.2339395530820076,-4.495505535390506,1.3551620685715664,0.6344563649525482
31,vertical_velocity_950_std,-0.4780528075730774,-0.14404842163566492,1.0996153543437548,-0.6888972170423208
32,vertical_velocity_950_std,-0.725904411659061,-2.341750356724384,0.09056090194394169,0.21957054833534287
33,vertical_velocity_950_std,-2.3290466984718874,-3.2173495093866444,0.5888341940527695,0.4126821185870443
34,vertical_velocity_950_std,0.9734185617470638,-3.2595393464631606,1.622928556717749,-0.6399290123862766
38,vertical_velocity_950_std,11.148506279648172,-4.546793865317882,-0.5012219895254133,1.9419907773003615
39,vertical_velocity_950_std,-2.4134795905756232,0.3338601753186261,0.01568093350605146,0.558093630971461
43,vertical_velocity_950_std,1.2842561550867848,0.526006923033832,-2.093407472827802,-2.142435173393721
44,vertical_velocity_950_std,-3.6901253849803632,-0.6983364836623733,0.460830607987039,1.2318814635857196
45,vertical_velocity_950_std,-7.297010237628806,0.4666689501392911,0.6921565939064425,0.7913503837189526
46,vertical_velocity_950_std,-3.579944927613418,-0.8732337643165429,0.6998452893017286,-0.08276758967145549
47,vertical_velocity_950_std,0.8950817185865395,2.077208172859331,-1.892229540575885,-0.4209536629714577
48,vertical_velocity_950_std,-3.780193855281932,1.4847352539404843,-1.53794055366462,-0.3136763593493051
49,vertical_velocity_950_std,-5.031768141199316,-0.7484914812491245,1.2132217687822133,0.5270549321731216
50,vertical_velocity_950_std,-1.8844303320660145,0.6760513059998055,-0.3837788172894772,-1.696684908961872
51,vertical_velocity_950_std,-1.698367590062935,0.3795710869383137,-0.27698440181922995,-0.3915502523615606
53,vertical_velocity_950_std,-0.16710312382092585,-2.43346180897128,1.7113045639830569,0.49016864773409996
54,vertical_velocity_950_std,0.7175546596484305,1.3966647455910344,-1.125239694338705,0.8736039285555631
56,vertical_velocity_950_std,-2.4377630595666164,0.2618448138611933,-0.18078167666767328,-0.39892791769564745
58,vertical_velocity_950_std,-1.4905145448188868,-0.15252770837573382,0.5373221077914285,0.39489512896984
60,vertical_velocity_950_std,-5.492995766873126,-0.9795468319122794,0.4662060989720121,0.7271925373560333
61,vertical_velocity_950_std,-2.8742241682831815,1.4140455361724136,-0.5496361772617082,0.7810467229448962
62,vertical_velocity_950_std,-2.4992747153399173,-1.598234275712617,1.415135640018214,-0.056773365566700706
63,vertical_velocity_950_std,3.4675319850279145,-8.115621552566237,1.426360754851313,-0.4307076775639887
64,vertical_velocity_950_std,6.01332394194559,-3.9173912932267854,-1.5395281920137012,-4.0832897023048575
65,vertical_velocity_950_std,9.044696543350469,2.8880618974160135,3.318486288534979,-2.7108241831039623
66,vertical_velocity_950_std,4.085639690525632,-2.0059807550919517,-1.3129233094636903,-2.6603880474420705
67,vertical_velocity_950_std,-3.762878787648795,0.8567770700509967,0.07404719000433145,0.6820250630277181
68,vertical_velocity_950_std,-0.16104368309974976,0.15375859134231457,-1.2257247549201533,-0.03264793424610548
69,vertical_velocity_950_std,-1.4517206734147594,1.5704020774444738,-1.3373036914741954,0.2037022750468543
71,vertical_velocity_950_std,-4.440290105053541,-1.3843227180470583,1.3062386722856825,-0.2362999526347653
72,vertical_velocity_950_std,-2.8860835529671016,1.409643883030205,-0.22886850896837274,1.6180267112296718
73,vertical_velocity_950_std,6.3693268488850014,10.790706162271658,7.6494747374065115,-0.6682204426312833
76,vertical_velocity_950_std,2.8233630467205804,2.4135888834464536,-4.231448864383093,-2.0069422718335077
77,vertical_velocity_950_std,-1.4990749711733846,2.0082741939705007,-1.4497834321680287,-0.29508530316155673
78,vertical_velocity_950_std,2.845144819618313,1.709112602451144,-0.12548313973290381,-2.384166158752777
79,vertical_velocity_950_std,11.961255526147497,1.945669411631738,0.2064053026828471,4.550319226948536
80,vertical_velocity_950_std,6.169742104469174,-2.753848620826007,2.4049881183583377,0.38229581103865057
81,vertical_velocity_950_std,4.320656239259633,1.1608643749105727,2.823754862665879,0.11510591505568661
82,vertical_velocity_950_std,1.6716556445891417,1.0455152438447075,-0.5658939175189625,0.5124285158469448
83,vertical_velocity_950_std,-0.40770840164602584,1.5903676245604879,-0.8593695656351614,-0.14682248565005454
85,vertical_velocity_950_std,5.0611247546141405,-2.5102038220310594,-0.06813989040394762,-0.20713759694690548
86,vertical_velocity_950_std,2.8356290016597785,0.3946744971013276,-0.7718181766866925,-0.5197415533554633
87,vertical_velocity_950_std,-3.4227248828333763,0.21382319297177946,-0.11300549302213757,1.0577244666619852
89,vertical_velocity_950_std,0.8185617976695984,0.449094855143766,-1.9134979924816058,1.227188385487919
90,vertical_velocity_950_std,-3.257903605170796,2.5890660583082963,-1.6319146766453714,0.38769416153229436
93,vertical_velocity_950_std,0.11884730751333841,-1.475480312775234,-0.07835371866368107,0.23334101555279035
95,vertical_velocity_950_std,0.4190635178956795,-4.756982803248326,1.2863161722066494,1.7644070054736427
