storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11
1,vertical_velocity_20_max,6.990422890958336,-3.726461553143371,-0.9650328192963051,-1.8542865013866505,0.09865078217443872,3.0530980132148318,-1.340652908637462,-0.006077165634782804,0.523634635432732,0.58257894100402,-0.15751026927301964
2,vertical_velocity_20_max,6.785142177600823,-0.4057146386859232,5.469814840289424,1.0867945433388149,0.6622929538979865,0.06764784188897988,-1.4190111666241725,-0.0868924059340824,-1.0972088136760059,-0.35692392824207614,0.8384849898780378
3,vertical_velocity_20_max,0.5415451332161931,-0.77689732524489,-0.0046790913477035906,0.15381879557678402,0.3986372642949703,-0.5742155188644714,1.151843407757154,0.1593755874634995,-0.17774238977061166,0.0699844213685574,0.16959561608539295
5,vertical_velocity_20_max,-4.0129250052698255,0.42959519234082294,-0.3425168931180261,0.05916582212336804,-0.2309566244187995,0.024368349360821596,0.07621534995687171,-0.034242322397475204,-0.11004514299871884,0.0857654677936182,0.0014397004059684682
6,vertical_velocity_20_max,-4.772625119875877,1.1040862871166246,0.09209421132134843,-0.3427845172769471,0.3373976098178423,0.3192175294415636,0.17000316141448424,-0.06078483122025572,0.13244745748743528,-0.08807529396180151,-0.03404804506304925
7,vertical_velocity_20_max,-0.1458896476661227,-1.3699068986646217,-3.5728809879409757,0.2382133757888612,-0.11451284452693603,-0.256250571481622,-0.5000492694689087,-0.122219403812208,-0.4286677225341898,-0.25784928673385393,-0.11780035245280039
8,vertical_velocity_20_max,5.752249172934857,-0.6645706380069542,-3.6857972949662607,-0.30989328258183985,0.6874292280949091,-0.11086864560953792,0.41414764837702406,0.5365425474222822,0.6333536256492484,1.4344936506087635,0.06237998069139677
11,vertical_velocity_20_max,-2.6069473788708564,-0.2958934130263284,-0.9364568907910302,0.06717139306961166,-0.02700854758839534,0.2713846802595053,-0.18160262309427425,-0.05354791761471314,0.03395730012887435,0.08344258449034182,-0.08514964124218269
12,vertical_velocity_20_max,-3.3933145917253573,0.5166879185472619,-0.6069809513817702,0.15051267175324795,0.2072152749989794,-0.0641382167120498,-0.025313513620218452,-0.2817095368125015,0.3318969920375671,-0.0683416670217147,-0.0686833339193366
13,vertical_velocity_20_max,-3.7124278718606907,-0.28877198790253267,-0.9871409222353347,1.7170978795844507,-1.5646543380102678,1.0116711649537378,1.311535987170332,0.31260165956945374,-0.411437603406881,0.38268640392334935,1.0118246735416956
16,vertical_velocity_20_max,1.0401446809848536,-0.23724600306731713,0.8173749348174615,-0.09890442134205386,0.3397827802251835,-1.6100441410102746,0.5533088378966291,0.8192672326088546,-0.33614108693919237,0.03685588562982064,-0.06386597370053562
19,vertical_velocity_20_max,-2.467330522377338,0.14183194758197729,0.3052588166002314,-0.3038685197070105,-0.3238590028401438,0.19070819068208172,0.3860096859811534,-0.05270919979743426,0.3111121205646962,-0.044446396126144164,0.13201426289532908
21,vertical_velocity_20_max,2.5672462648929764,-0.8670266609418426,2.1365952578415657,-1.7239147577546103,-0.49470168981107854,-0.5091327654416983,0.4128656640544579,-0.4622208811123228,-0.021153330509311917,-0.43594181180006486,-0.36643492308873504
26,vertical_velocity_20_max,-0.1232545885952961,-0.05737983321572293,-1.0682207336017853,-0.05497779855957468,0.3641493624835897,0.07674516335179628,-0.9301401939941129,0.49800039524590894,0.5637239838354415,-0.08992239980583229,0.030978346630362925
