storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8
1,mean_large_scale_precipitation_rate_max,-0.6411801539278805,1.3586706734100673,-2.4889177428173452,-0.6720171251935516,-0.8050715818414573,0.9393555688758941,-0.23346548944254356,-0.23969451578210074
2,mean_large_scale_precipitation_rate_max,-2.44192390015805,-1.0415245103782809,0.2893527079847496,-0.9199758693958389,-2.3808215553668783,-0.47349176326941045,-0.30759897443614675,0.8990710339082535
3,mean_large_scale_precipitation_rate_max,-3.7555017832137825,1.445811775462279,-1.5249476437306981,0.4043971951146913,0.06508531289944078,0.15326076263266641,0.15230814313631866,0.052517776649228805
5,mean_large_scale_precipitation_rate_max,-0.08133438842685004,-6.296902129518086,-1.6662852910064403,0.2562395452237688,0.05102086806749576,0.5731188643260473,-0.12185590963154054,0.5898931355509388
6,mean_large_scale_precipitation_rate_max,-5.549846783243517,-0.2788929368230924,0.7914414319378833,-0.058967500042147986,0.5067952681090745,-0.26980335559178975,0.12016617928011876,0.17355433655920618
7,mean_large_scale_precipitation_rate_max,1.2113243308342738,0.9526248424365644,-2.961460504292988,-0.04159049411681534,-1.3794616421377215,-0.04606960427207844,-0.15515770326010997,0.15777413237968163
8,mean_large_scale_precipitation_rate_max,0.27658453394521376,0.031084452793798647,-0.02640092575899955,0.8022260984882758,0.3073970703868885,-0.47576632499820015,0.14710817216481456,-0.6435346364213076
11,mean_large_scale_precipitation_rate_max,3.2304123766240367,-1.1769002897233232,-0.41586017371279815,-0.6275199322209111,0.26037131460614005,-0.4849394791800604,-1.0294774787923133,-0.11201860635510415
12,mean_large_scale_precipitation_rate_max,3.3622663784753883,-0.5349687483329648,0.11846084487575098,-0.6984102007185594,-0.31377850573517485,-0.9615281910077866,-0.42061739565393674,-0.27164857252134794
13,mean_large_scale_precipitation_rate_max,4.364946311555986,-3.5343245830844894,0.5956774101649744,-0.4696657140740955,-0.8776781470615683,-0.011521742922433449,-0.616560565412941,-0.24525611876693373
16,mean_large_scale_precipitation_rate_max,0.8441416834571929,-2.321559372456839,-1.4144499409636702,-0.27635579914119035,0.9120050891710951,-0.6922199350442989,0.026937567619722044,-0.38023883453423984
19,mean_large_scale_precipitation_rate_max,-2.208781254324559,-0.43372321770038996,0.35553081316598384,-1.3195513821298313,-0.3636958202778747,-0.9104931506388713,-0.2477746997836061,0.6991537583093127
21,mean_large_scale_precipitation_rate_max,-4.161499535415909,-0.7943592179852891,2.063232263486542,0.017378078463932658,0.5806280331138515,-0.4871323743326666,0.24361251898791766,0.22240970219922662
26,mean_large_scale_precipitation_rate_max,-2.14079415390453,-1.908997978651099,0.964355781344141,0.5948835728220112,-0.677843747102261,0.47368150309177426,0.27298823918557064,0.11899364139636992
27,mean_large_scale_precipitation_rate_max,9.885977751943164,-1.0373826247856943,1.8648746113139933,-0.12975022447635012,-1.6008625586329464,-0.09369047473865466,-0.23613242093071793,-0.9452111736427012
29,mean_large_scale_precipitation_rate_max,4.472502413067075,0.05964263897209981,3.6010427582324684,-0.6964930792709878,-0.23888798040816336,-0.6270083551461999,-0.1379637979827107,0.839796531955491
31,mean_large_scale_precipitation_rate_max,-0.5471408268407155,3.4428250287686204,1.7856741427218217,0.18521692064790687,0.010976509725907684,-0.44880985244327226,0.255501914921496,-0.3822387282417181
32,mean_large_scale_precipitation_rate_max,-0.825679019469613,3.850377939901314,-0.5054013437051659,-0.7608653879822834,-0.262751573948683,0.06948757212476679,0.3454803091855229,-0.10012026386564851
33,mean_large_scale_precipitation_rate_max,-1.5331521116623532,-0.9172589819883111,-0.7899652637491587,-0.6145834565722372,0.5940853445589676,0.24481914186467257,0.040823168481713766,-0.1404581635494641
34,mean_large_scale_precipitation_rate_max,2.1217359816851404,-2.7804542307518765,-2.3260906367777348,-0.03626340032448971,-1.5766462489957975,0.1881098562235443,0.3423981318780144,0.5020412644588038
38,mean_large_scale_precipitation_rate_max,3.2064663078850577,-2.4409937916038595,0.167328625662379,-0.4152468588889034,0.06109724371343564,-1.1759092946401521,0.05662576233942931,-0.3559476167158183
39,mean_large_scale_precipitation_rate_max,2.109591666229975,3.456778868858334,-0.8591016771623575,0.6162135301899672,0.6759022398668337,-0.30079423032502095,0.4890023474891624,-0.36325324972038725
43,mean_large_scale_precipitation_rate_max,-6.028768278661307,1.9091907677048512,-0.5842633632443871,-0.4218846862389375,0.23168601074902095,0.029223097258386843,0.34308075595084647,0.18451142368566753
44,mean_large_scale_precipitation_rate_max,-2.066041211779936,-0.5610277876313707,-0.2525716098747298,0.914910755796335,-0.129099368596956,-0.07314908724913585,0.8610095700635205,-0.18366051313017606
45,mean_large_scale_precipitation_rate_max,-3.452932551159135,4.220501584066122,-1.367959956490739,1.0194253204063715,1.181922593269012,-0.9311964038406831,0.15071776731067363,0.03509553650431454
46,mean_large_scale_precipitation_rate_max,3.121107117666304,-2.6265337520861447,0.9199649196771438,-1.049364756382839,0.7748984227548724,0.08220986700340734,-0.11731708804832741,-0.608025778555185
47,mean_large_scale_precipitation_rate_max,-3.728805140263041,1.0558112338166021,-1.3308518574085704,0.41214167368519466,-0.316332189535582,0.6340423235006427,-0.1394584306946826,0.2959406650035817
48,mean_large_scale_precipitation_rate_max,6.349472604828486,-0.10314033053950165,-2.1676684602561407,-0.47141412003039246,0.011201337651706701,0.19463982993358656,0.8407270040617173,-0.5003393239872508
49,mean_large_scale_precipitation_rate_max,-1.316638473287817,2.5486738255450927,-0.27075683539637385,0.05429980283366655,0.26029494280755766,0.4046293910952359,-0.6757264643673292,-0.034514314451061616
50,mean_large_scale_precipitation_rate_max,0.5751354002185285,0.4561313186029236,-0.525288846506143,0.8072377153231047,1.2544380717933397,1.2741511982968403,0.47491566619762504,-0.27349062526539986
51,mean_large_scale_precipitation_rate_max,4.298341625345973,0.04313681288868643,-0.7652526722650145,0.5383155569944987,-1.4211034669546616,-0.5072817286485652,0.20146336736711884,-0.16308013788815104
53,mean_large_scale_precipitation_rate_max,-6.353951386103728,0.5876863429111003,-0.5892092181129929,0.03326045293337033,-0.009820189188271966,0.5840441069308462,-0.20059501076828948,0.2580622718996875
54,mean_large_scale_precipitation_rate_max,-4.405788542127096,1.120215559591654,1.0457151218901581,0.4287255163679459,0.3182457094461934,0.31405819993628237,0.05642196060088721,-0.11014358937762787
56,mean_large_scale_precipitation_rate_max,-0.18718471044651236,-3.5002729079301624,1.2994309153293537,-1.7015603357841609,1.0250832013334683,-0.9040162976227877,-1.0562229341834508,-0.2664568331574359
58,mean_large_scale_precipitation_rate_max,-3.5733548702862428,-0.8971898512874154,0.11572099979700196,0.19984317990861514,0.34108424697677403,-0.19028607435851835,-0.032928859106247745,0.08962903625158525
60,mean_large_scale_precipitation_rate_max,-5.992050809808181,0.2674982355919835,0.07381192368940034,0.4132545391502659,0.3978503932165232,-0.04832618139974712,0.144900004719415,0.06352720549030412
61,mean_large_scale_precipitation_rate_max,-4.748281441530201,-0.23311985659556828,0.21938249870417142,0.16431285497666948,0.12027303329780806,-0.13876521355454913,0.04665665294554759,0.308670656379502
62,mean_large_scale_precipitation_rate_max,-1.3438504238045232,0.9887396227058453,1.2615880888875153,-0.050172104493462925,0.5504324692019611,-0.532002353979056,0.31724955510315017,-0.5482163871672092
63,mean_large_scale_precipitation_rate_max,-0.023149930692265595,-0.11132748469942576,0.5735752892575376,-3.1307679849897823,0.24190930293781412,1.3541643205390859,-1.0000767950220195,-0.7407169808864
64,mean_large_scale_precipitation_rate_max,3.3114166650111456,-0.38194135283221714,-2.8915726204338723,0.2975360783531991,-0.5209171584195617,0.19355990111277374,0.9138773754403882,-0.7447954691228396
65,mean_large_scale_precipitation_rate_max,13.563507033866035,-2.848526419295208,-2.049245031510418,-2.195028078365952,2.444241325642966,0.902614286039849,0.7618075320733658,1.3963437566800012
66,mean_large_scale_precipitation_rate_max,-1.5167114772527672,-1.924616835199437,-0.8597930877389908,0.46327810684748133,-0.6604529440913152,0.44028262421550934,0.17176775541586592,0.5678951969309092
67,mean_large_scale_precipitation_rate_max,5.564191707259473,-6.538537225116899,-2.4206118646138073,1.4954454114508702,-0.15612454412375926,0.18741894199490625,0.47437119214560103,-0.7846986302689518
68,mean_large_scale_precipitation_rate_max,-5.19904432217949,1.3746113714844188,-0.47658860092443833,-0.1001175889546657,0.12685629253623076,0.18947265884015002,-0.07127232499287846,0.025387995545562352
69,mean_large_scale_precipitation_rate_max,-1.3266052738615202,0.14970068700070827,-1.4464537962997996,0.7928707934690943,0.8779382356665998,-0.5979206883161764,-0.6776095576218912,-0.37707062911213024
71,mean_large_scale_precipitation_rate_max,-2.4923453291361826,0.21979481388527514,1.5590968727129086,-0.4387739237117687,-0.655884189856321,0.8389300172599196,0.04217656684862113,0.06160481952993816
72,mean_large_scale_precipitation_rate_max,-3.1743445595441484,-0.1464736973008591,-1.098212137797923,0.5837811888682248,-0.6990045024657894,-0.2524694206216991,0.23342029129505995,0.2873181998228603
73,mean_large_scale_precipitation_rate_max,-4.7699467638146515,0.8172844760293553,0.11182458919860093,0.11705342460557425,0.04764326951812842,0.45744733188007286,-0.31595915097514826,0.1493691684535216
76,mean_large_scale_precipitation_rate_max,-2.99773536728156,3.558768012344042,-1.23840347682887,-1.1693358728077972,-0.15384328100065253,0.2028478411833143,0.21380054619868835,0.0409815702980319
77,mean_large_scale_precipitation_rate_max,9.859976953672652,-2.764480604123364,3.894633764690004,0.8382477334242946,1.3673796583051478,-0.1044437015165107,0.7321817776549262,0.340551543434966
78,mean_large_scale_precipitation_rate_max,-4.0637522441683185,0.4945028142285439,-0.3393811109323447,0.30617479727831465,-0.11613739614034707,0.7314709388213724,-0.6339789075968523,0.13234621183048279
79,mean_large_scale_precipitation_rate_max,-2.0017425034817102,3.480381398782589,-0.21965798848213053,0.46034885077617055,0.6746317206230874,-0.5218177384786852,0.23145788763229455,0.00952212408960629
80,mean_large_scale_precipitation_rate_max,1.1886069188102821,1.1840063963401852,6.543030054357197,-0.095268205313578,-1.703724754416095,0.9892733820914087,1.5220623715381476,-0.2173475300077155
81,mean_large_scale_precipitation_rate_max,0.03220641709760339,1.1787338577963984,1.7937784034289588,-0.8211251723555358,-0.344138012604943,1.307577853926306,-0.8587065401199465,-0.5264550496138589
82,mean_large_scale_precipitation_rate_max,0.1339918210122011,0.9309333021767061,2.9493191737572264,0.4558906815784092,1.021788315708444,-0.13546564524844326,-0.3418441971605733,0.3604532719270665
83,mean_large_scale_precipitation_rate_max,-2.4877293634561655,1.437155326378752,0.159388277046909,0.43153277549105024,0.22430665926949933,0.42096712940100006,-0.10400837576006103,0.10291403853889176
85,mean_large_scale_precipitation_rate_max,-1.1835221315960531,-0.2562637037144497,1.0886153692253198,0.3242344610369248,0.9568360738871522,0.6089362085480235,-0.141769931482451,0.2911759307561531
86,mean_large_scale_precipitation_rate_max,-1.836198760219781,-1.4248863063215849,0.2698337839969578,1.2444525757838119,-1.0151756216702783,-0.8126502978189277,-0.5796581398469625,0.050526416049482124
87,mean_large_scale_precipitation_rate_max,-2.5011287455722813,-4.077746006802285,0.04793398695555738,1.1530815878464242,-0.7871101799501277,-0.5747131757651317,-0.029554076107575378,0.5514615586310451
89,mean_large_scale_precipitation_rate_max,-4.327604087084055,-0.42890428869385755,0.1837293160158841,0.7049197633192734,0.26531522391278184,-0.654731520900914,0.539391964342363,0.0004102848028342555
90,mean_large_scale_precipitation_rate_max,17.24709994290932,5.133725808689192,0.31242595770397996,4.477507437916239,0.11658033208169277,0.6605845887871794,-1.4569859940511438,0.47746318353766615
93,mean_large_scale_precipitation_rate_max,-5.4199816380123105,-1.9018337206543543,0.3540656503193041,0.12982103650500407,0.9408431051508352,-0.18929091103643736,-0.17924274327419848,-0.4233154903444867
95,mean_large_scale_precipitation_rate_max,12.075020303798222,8.470064955443595,-1.5012126687367333,-2.75638975989989,-0.6326770814345606,-1.016674738828596,0.3531099369309695,0.3455803830124825
