storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12
1,vertical_velocity_70_max,11.287122356001703,-3.2351210079700845,-2.1784448034513906,-0.9494464001901443,-2.355609073685199,-2.5683559245026175,-0.392428935727052,-1.1440404166647393,0.9349459093716099,-0.06147225333263684,-0.0688379568198362,0.29041924293304716
2,vertical_velocity_70_max,7.529888252301918,-2.7546194607632817,4.026387574466169,-0.07405350525909221,0.8991741576684595,-0.7239314673443654,-0.03289638036040365,-0.5346956941075248,0.3360259305317521,0.42861735500795417,0.3419392577514849,-0.1521494709556232
3,vertical_velocity_70_max,-0.2438849963809183,-0.19354266083045613,-0.5962934902402879,1.168484274785995,-1.1642783380864772,-0.1684815227595611,-0.5356449110407036,-0.32943190728506366,-0.36942258662701205,-0.439439362439236,0.2106264870323006,-0.28512307355094024
5,vertical_velocity_70_max,-4.393908529948223,0.5817553632923339,0.2781027609521903,-0.04883480832869248,-0.12081518004904587,0.165601845205605,0.25185902984664865,0.12681831899602497,0.11869040094913412,-0.07997159264440415,-0.18123915926517023,-0.13381698891244714
6,vertical_velocity_70_max,-4.703030328739991,1.0965230717921717,-0.021926043604731084,0.08926136480211003,-0.0030828205021643487,-0.34671988557605954,0.274872998045971,-0.0070773930100707285,0.04781357038006119,0.01920072510970369,-0.012539586692602809,0.021577750609316326
7,vertical_velocity_70_max,1.3666290994277046,1.1213149380592184,-4.1062219410545415,-0.47495987662972355,-0.023659735037631708,0.8058797521808612,-0.370299876226061,-0.32635015026308734,-0.4626575692345782,-0.3671402028039435,0.6552220893777215,-0.19246785592031207
8,vertical_velocity_70_max,4.930279198059221,0.6471386669309482,-2.20278702101536,-1.5836230544353918,0.25219675092987515,-1.8445562876722865,0.7953337812746726,0.8271562624453989,0.621541254186986,0.17441358759238257,0.1862460445629346,0.360075772634894
11,vertical_velocity_70_max,-3.1310607072726393,0.7536973274516837,-0.5623493291498703,0.21822467755999023,-0.21103199449682505,0.1399459464958875,-0.38449465474274885,-0.06829588888449936,-0.3265211387299184,0.1574576471307269,-0.2121979047844117,-0.0251692355320935
12,vertical_velocity_70_max,-3.2484808377046206,0.5567931350186902,-0.6789460857466285,0.5381912244196306,-0.2115692244463488,0.1342609239580993,-0.11370754677939288,-0.2732124554167352,-0.16595651098877603,-0.11349002573369352,0.3126591112094859,-0.0660013723532204
13,vertical_velocity_70_max,-4.1113042272338465,0.06119344714351598,-0.2211820090314486,1.0697185448411428,-0.7199562788260682,1.0487443117587023,-0.1022629564184435,-0.010668639754684687,0.17029250987674543,-0.024458402839154483,-0.915948209665063,-0.8527368754917671
16,vertical_velocity_70_max,1.230675056006721,-0.5669085786722653,0.17067809816370305,0.4375932994817755,1.3224320682775892,-0.02488423709450945,-0.5210015815112606,1.3395115011215868,1.4752945978709469,0.026857233134670245,0.17537693873631238,-0.37897075103168
19,vertical_velocity_70_max,-2.3810513542402374,0.27550306474282343,-0.30100053021949175,0.24866346759494315,-0.3616688214162464,0.20283532579872976,0.0797965013361922,0.22519849239793044,-0.4795714600878984,-0.17737039728298815,-0.1134464718052235,-0.009251225715622763
21,vertical_velocity_70_max,2.886242393522987,-2.280000696159096,0.016145104479380334,-1.2972288361172173,0.30364035541900564,0.05146288085446029,-0.3044459065730345,-0.10557478242799705,-0.7869571393616279,0.1334419232938374,-0.06733734186878347,-0.10125875164878019
26,vertical_velocity_70_max,-0.28666288749388985,0.7669056681700113,-1.673347705713988,-0.21247151228856545,0.03936030617915748,-0.9716824050299901,-0.7219879570776365,0.4862207666248536,-0.38747927299358875,0.7021705786870209,-0.04621033298346943,-0.33068322255887295
27,vertical_velocity_70_max,-4.454437186245591,1.1156920247760473,0.2756021761573605,0.25509113079166246,0.2870459567124223,-0.25653934923955735,0.26674025244572214,0.27652561622123634,-0.17989674431427657,0.0656415560626269,0.022375477160309194,0.11218309047371951
29,vertical_velocity_70_max,4.3632010610521865,-3.1381815392502945,4.2150086331907985,-1.5580022105242848,-1.4477185645229205,0.8163344571751352,0.20949808393384708,1.5117508271131788,-1.250309542265777,-0.7138730568357091,-0.06748732698717848,-0.2975316681026305
31,vertical_velocity_70_max,-2.6257746635801626,-0.035655510700796304,-0.1992799100602496,-0.31121539735735115,0.26018317397564783,-0.15769010337015904,0.24494573966005012,-0.3452453686257085,0.12235437230517338,-0.0396526581568854,-0.2998355476794038,-0.08654913049950198
32,vertical_velocity_70_max,-4.682771296490996,1.050999138228222,-0.2927931488474397,0.4201087369609982,-0.012950499526256369,-0.016908895372285043,-0.06762178272456418,-0.06607937381881136,0.25018155375632767,-0.16234863838042676,0.1859446782570531,0.008458851328265165
33,vertical_velocity_70_max,-4.349177182406503,1.0615787254458025,0.03577910386613049,0.08375985540866947,-0.042233050722928656,-0.39240009835050105,0.42551934582823564,0.06301416915723121,0.17225579876745592,0.2691686735055594,-0.07305418803326236,-0.06959741693505696
34,vertical_velocity_70_max,-4.2087439075733615,0.5185452744171861,0.5024288489388656,-0.29814066222624785,0.05518826378090858,-0.15997802606535813,0.025968687164232493,0.09455728596927224,-0.21926873303090885,-0.23645300378949333,0.03270970328979176,-0.010831512919004378
38,vertical_velocity_70_max,3.5454764746891017,1.323538929233308,-0.3755355672692066,1.1518834969166767,0.44814632186023745,0.6526239137849505,-0.7495989150509168,0.1570214453477012,-0.38097682349440026,1.2678132973853335,1.5577694412877332,-0.4010381959753637
39,vertical_velocity_70_max,-1.0688159506880066,0.5199757565774601,-0.7476111344600586,-0.1762793450243615,-0.041673339309111976,-0.6895027693528287,-0.020958427221837696,0.5186877178969895,0.20409124588127733,0.1384254823984971,-0.054449567421059615,0.28855070465447863
43,vertical_velocity_70_max,6.552254731240963,-2.5838535525569952,4.224855710715115,2.810542788190704,4.616486203719043,-1.3850636713438478,-0.47401535761432795,-0.6204944429939291,-0.479852966067415,-0.3728263559299367,-0.39624329974605554,-0.6489491286623286
44,vertical_velocity_70_max,-4.319036749322852,0.9822627936390357,0.2318751307940529,-0.019331493594686534,0.30944660924533424,-0.495419020062939,-0.010026347659990973,0.10978984133571139,-0.1321865241355218,0.0977707203023137,0.09175952223120407,0.08646813727772983
45,vertical_velocity_70_max,-4.981705429713797,0.7736669982233257,0.44855936871981056,0.07076239566088457,0.2803451226622006,-0.34248620459523116,0.23943892486990406,-0.10268193947449808,0.11246838682432417,-0.1079742071497428,-0.11662127018464875,0.2244068745988072
46,vertical_velocity_70_max,-4.598440436290676,0.9752843951549046,0.4515171217705298,-0.08033720400167019,0.2825662574583063,-0.26351795414044743,0.09207177053602876,0.08105881256031587,0.2563757912511024,-0.05837414201097334,-0.13614125407434957,0.07813100547155966
47,vertical_velocity_70_max,1.6993607202506082,-1.0912079809719912,-2.779089752884997,-0.1953858357455936,-0.7206124456734121,1.0538269918891368,-0.3060102929122103,0.2713918411600425,0.23333390162651602,-0.3483207366169232,-0.32049280141199427,-0.8835939264431405
48,vertical_velocity_70_max,-2.207425118366086,-0.3053172547780733,-2.2001770984243194,0.06281407885689813,-0.02787462247774448,0.1884914329712046,-0.0020738738025231256,-0.8018041912934302,-0.6235931510166377,-0.03947519910603363,0.8450508456614448,0.2673045414014564
