storm_number,variable,PCA_1,PCA_2
1,mean_surface_latent_heat_flux_min,1.207772485238517,-2.344131047343492
2,mean_surface_latent_heat_flux_min,-3.911178677082343,-2.71480526091165
3,mean_surface_latent_heat_flux_min,1.4420232387453968,2.407649585752544
5,mean_surface_latent_heat_flux_min,-7.129098226803345,2.3698295784932784
6,mean_surface_latent_heat_flux_min,-3.757654016044338,2.2096974667694247
7,mean_surface_latent_heat_flux_min,-3.1769756136422167,2.075388876704595
8,mean_surface_latent_heat_flux_min,3.7081484444593173,-4.056087462406542
11,mean_surface_latent_heat_flux_min,-0.6493135981810139,0.5038613420057928
12,mean_surface_latent_heat_flux_min,-3.435340613613412,2.004326327068179
13,mean_surface_latent_heat_flux_min,-2.468001159217517,4.440608215661185
16,mean_surface_latent_heat_flux_min,11.58761718410949,3.533908950050855
19,mean_surface_latent_heat_flux_min,-3.554625816865691,0.8789656707755182
21,mean_surface_latent_heat_flux_min,4.348826032426383,-2.233513953475396
26,mean_surface_latent_heat_flux_min,-7.072948466575803,0.17578300977209402
27,mean_surface_latent_heat_flux_min,5.269438796592488,-0.2088531241633484
29,mean_surface_latent_heat_flux_min,0.9866712992787292,7.254613942729926
31,mean_surface_latent_heat_flux_min,0.3379177653250656,-0.4616497388268447
32,mean_surface_latent_heat_flux_min,12.339981956420816,-2.6027320731613304
33,mean_surface_latent_heat_flux_min,3.355087327506828,5.881587980179915
34,mean_surface_latent_heat_flux_min,0.079140458901959,-0.7950198377518525
38,mean_surface_latent_heat_flux_min,-2.8690574153269335,1.9059085872242076
39,mean_surface_latent_heat_flux_min,-1.2313604212645004,-0.7310959876988606
43,mean_surface_latent_heat_flux_min,-2.6895770369483536,-4.850672175683137
44,mean_surface_latent_heat_flux_min,4.81550401501464,5.451234358913953
45,mean_surface_latent_heat_flux_min,-3.197112807742103,1.2683322809767974
46,mean_surface_latent_heat_flux_min,6.58924062375592,2.70194922682618
47,mean_surface_latent_heat_flux_min,1.1611883620458594,-0.15439200621163662
48,mean_surface_latent_heat_flux_min,10.185776988589007,3.2049689793651175
49,mean_surface_latent_heat_flux_min,-1.5846675275876956,1.483180225286654
50,mean_surface_latent_heat_flux_min,-2.3177419896518536,-0.22075049891929285
51,mean_surface_latent_heat_flux_min,0.46269493173623905,2.1563524521506627
53,mean_surface_latent_heat_flux_min,-5.440627922799099,-2.824512756418396
54,mean_surface_latent_heat_flux_min,-1.7294411564704633,-3.419165247221768
56,mean_surface_latent_heat_flux_min,4.815392136570582,-4.7142075857899375
58,mean_surface_latent_heat_flux_min,-1.1501205992436392,-4.0754399927657206
60,mean_surface_latent_heat_flux_min,0.518130962002447,-2.906860501031041
61,mean_surface_latent_heat_flux_min,-6.369395413392613,-1.4673743226650036
62,mean_surface_latent_heat_flux_min,-5.998793585144354,-1.3458051180110666
63,mean_surface_latent_heat_flux_min,-0.18347655339613553,0.9991052355441552
64,mean_surface_latent_heat_flux_min,1.1540052098916807,1.3010052600133335
65,mean_surface_latent_heat_flux_min,5.512606421816299,-2.089222883146536
66,mean_surface_latent_heat_flux_min,2.7474020880925334,-1.5745793400989874
67,mean_surface_latent_heat_flux_min,2.2197667844286855,-1.8876651288260116
68,mean_surface_latent_heat_flux_min,-7.585163236035808,-1.8715310041197222
69,mean_surface_latent_heat_flux_min,-6.532412144821277,-1.6247283089577509
71,mean_surface_latent_heat_flux_min,-3.665181856918885,1.7418722376508007
72,mean_surface_latent_heat_flux_min,-4.387440301485971,1.5904287237446113
73,mean_surface_latent_heat_flux_min,-6.193117727777568,-3.2470493068630133
76,mean_surface_latent_heat_flux_min,6.104529414323738,-4.6475205778815765
77,mean_surface_latent_heat_flux_min,0.6306972663745233,2.319788460352788
78,mean_surface_latent_heat_flux_min,1.909812471291211,-3.102465674607475
79,mean_surface_latent_heat_flux_min,1.2968546416550069,2.501159154486015
80,mean_surface_latent_heat_flux_min,-5.009561038030702,4.236332187027048
81,mean_surface_latent_heat_flux_min,-2.9858716435609423,2.915340756252395
82,mean_surface_latent_heat_flux_min,-1.6670023946258592,-0.359964095189494
83,mean_surface_latent_heat_flux_min,1.9034596067987135,-4.528430082603115
85,mean_surface_latent_heat_flux_min,-7.456996643303343,-1.4238678291393239
86,mean_surface_latent_heat_flux_min,2.1617929405508174,0.11093616861593547
87,mean_surface_latent_heat_flux_min,4.66554651435109,-3.5768421433083084
89,mean_surface_latent_heat_flux_min,1.3565798228817143,-3.7396300333826242
90,mean_surface_latent_heat_flux_min,10.562854323036019,0.22104753665443883
93,mean_surface_latent_heat_flux_min,-0.8770607017032259,4.425629145951529
95,mean_surface_latent_heat_flux_min,0.839855791045292,1.529773175580333
