storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9
1,mean_vertically_integrated_moisture_divergence_min,-0.5354883140279372,0.4314330376213714,-2.6691285629936123,-0.3725308630447516,-0.7254313604339375,0.32644664492218506,-0.0266860857892223,0.13751231157295124,-0.1729780366781404
2,mean_vertically_integrated_moisture_divergence_min,-0.8936003385206532,1.1003726203527526,0.0804854198041035,-0.5902155835811334,-1.0940965869525332,-0.5496032959100068,-0.32859494893839425,-0.8521374243831523,0.539323021418925
3,mean_vertically_integrated_moisture_divergence_min,-3.8347365209090407,-1.56034743633713,-2.5355268939117908,0.21469118929316983,0.021958044444336567,-0.0797332229545567,0.3329150500549109,-0.48807964418432875,0.37568274308982463
5,mean_vertically_integrated_moisture_divergence_min,-0.5135199609460773,3.9048482853352486,0.3632393018479432,1.0380119981161222,-1.58962695417579,0.958264520651522,0.5452581798988383,-0.2078037867173144,-0.6255288621515184
6,mean_vertically_integrated_moisture_divergence_min,-5.575641927368268,0.09399877531461144,1.1842837777703557,0.06249964854662076,0.09666630319255526,0.22310783109559906,0.31623766456244273,0.038491721907913036,0.20888017159859462
7,mean_vertically_integrated_moisture_divergence_min,0.3188746487563443,-0.9607273578243365,-2.878147603014833,-0.2040620345420384,-0.882976242932317,-0.6406316064864438,-0.5309386725415292,-0.6718807725478121,0.14485000387579403
8,mean_vertically_integrated_moisture_divergence_min,-0.5317490092556355,0.47766260033934893,0.4912778772668433,0.9179060875212239,0.5806072769787944,-0.11527481264278233,0.08435408539383478,-0.14736971700417287,-0.30642296825242277
11,mean_vertically_integrated_moisture_divergence_min,2.818579968753485,1.2411634215248062,-1.0551327761541713,-0.3450623240819455,-0.5577881017361155,0.28988550268012614,-0.7067286068620451,-0.49666337116215636,-0.38202328299585764
12,mean_vertically_integrated_moisture_divergence_min,5.991432868637839,0.2873861708466318,-0.05542864874662936,-0.9776901368806378,0.5937942770324746,-1.738149126512451,-0.824249757677025,0.2813635583796714,0.041151350117548405
13,mean_vertically_integrated_moisture_divergence_min,0.3886779394152083,1.6529412816987104,-0.399490138933485,-0.2294009344437015,-0.4683663918996892,-0.07827510079714367,-0.2896780696593195,0.14397040369046946,-0.06884295203265957
16,mean_vertically_integrated_moisture_divergence_min,0.561408710621012,2.948633288744067,-1.431121384518673,0.242400130927199,0.998069698108251,-0.39003616231201416,-0.46722361413379043,0.2508000490632361,-0.5877417346893032
19,mean_vertically_integrated_moisture_divergence_min,-0.09163685881320245,0.11514724181965871,2.3196763994333067,-1.8614179416365642,0.22528562920666795,-0.15299085393037803,1.1290100053635905,-1.1816580684392268,-0.506053020592176
21,mean_vertically_integrated_moisture_divergence_min,-4.836813201512831,0.07377915500676528,0.8909685722803801,-0.8000421675679423,0.3277683581964133,0.011379537866779811,0.27374256112921613,0.0094622731803475,-0.10510909863911369
26,mean_vertically_integrated_moisture_divergence_min,-1.6372984206408752,1.734219952308077,1.5890385134279374,0.2455916004441434,-0.7022534074328617,-0.3878172567811138,-0.023912323692366677,0.12977654793248472,0.2560913673068569
27,mean_vertically_integrated_moisture_divergence_min,6.581690013810681,1.0058819235265586,1.9271376673854033,0.6434374718607981,-1.2390018248151524,-0.01965972584879942,-0.40646783834657185,0.3189824609815266,-0.7133343438274719
29,mean_vertically_integrated_moisture_divergence_min,7.683430418135752,-3.0051044013152173,3.396851779692007,0.1264769885313279,-0.40613623863473386,-1.0999175033859894,0.00672445810038842,-0.9421767507651245,0.8462546599788062
31,mean_vertically_integrated_moisture_divergence_min,-0.8053504134462928,-3.000343753507665,1.674872199678359,0.7067596295413237,-0.3945215269370237,-0.37427241845839215,-0.24318584287737774,0.4969011068275872,0.8754218582984427
32,mean_vertically_integrated_moisture_divergence_min,-0.7440059613217443,-2.720951777827543,-0.7638065304275963,-0.8760636644430969,-0.2184007400617057,0.15962107525145894,-0.3079981777853966,0.40838229631461304,-0.0469311493603332
33,mean_vertically_integrated_moisture_divergence_min,-1.0410224155115275,-0.3137328857878666,-0.08867878223209857,-0.09004387293692356,0.27488396856694447,0.005366233421805922,-0.31752898566026366,0.48169540014997075,0.11341941663517113
34,mean_vertically_integrated_moisture_divergence_min,4.4719496751069165,5.356577252612415,-0.6744453771278677,-0.6007279162193311,-1.5151278972463516,-1.185486494577892,0.9782681920893533,-0.39549870329074055,0.5598167932619796
38,mean_vertically_integrated_moisture_divergence_min,4.671092114897472,-0.4880211096513852,2.13003393586559,-0.6947705749953835,0.9039245140610197,-1.3807144208978126,-0.038012211518194366,-0.024491668878098623,-0.036764505452281666
39,mean_vertically_integrated_moisture_divergence_min,3.6489484307775504,-4.895615568386248,-1.4388484293817407,1.3665332475017473,2.039968286351841,-1.1197994481294256,-0.3549520514033393,-0.2520087340345671,-0.054047012103342174
43,mean_vertically_integrated_moisture_divergence_min,-7.260731754907645,-0.9274341366475414,-0.6229171200380981,-0.471069286285786,0.26364057669987573,0.4384946584502781,0.47882713355106904,0.23476115261231129,-0.015194552767756202
44,mean_vertically_integrated_moisture_divergence_min,-2.5757571568400004,0.0036497803880195545,-0.6411036961904807,0.8833433223614955,0.5438931696610897,-0.39044644438888726,-0.2541183915740682,-0.028501252554746958,0.08099914963960818
45,mean_vertically_integrated_moisture_divergence_min,-4.656164464820484,-3.298084966089327,-1.6080114195868465,0.34254817780142643,1.2201758882045355,-0.019339442392023603,0.09783434502680607,-0.580781054670253,0.2392244861271957
46,mean_vertically_integrated_moisture_divergence_min,1.7284701870778396,2.6688114594136425,0.04488727882433587,-0.29659701155010887,0.07742880418918438,0.11092467652601577,-0.706264565358576,0.27858381327029325,-0.4706740484540911
47,mean_vertically_integrated_moisture_divergence_min,-4.277074203498198,-0.8495289340746305,-1.445343333596156,0.9350327708942346,-0.1687800500785981,-0.06377451261811082,-0.44553351857594164,-0.5336557430902754,-0.03400919772596779
48,mean_vertically_integrated_moisture_divergence_min,5.547501910953038,0.5302125973667532,-3.2334179037303024,-0.23180276398940056,0.3597824856788944,-0.6960363809656999,-0.0960838578738442,0.870026054881367,-0.10368681341675887
49,mean_vertically_integrated_moisture_divergence_min,-0.5125027563361098,-2.0615388988320267,-0.2737276684888421,-0.43543954248302963,-0.5848503950802685,0.4436782788211083,-0.6181512733192208,-0.3690027969265437,-0.006676769732419101
50,mean_vertically_integrated_moisture_divergence_min,-0.8356510887322822,0.180073011140008,-0.641663437466623,0.2196762459992146,1.0446339761736834,1.562180870360569,0.0622925667178484,0.6531297457035004,0.45885218242562437
51,mean_vertically_integrated_moisture_divergence_min,4.993512809135669,-0.8524843356917083,0.016605263666452524,0.6282394027882979,0.1850487409659441,-1.1513802669772764,0.03894783850811128,-0.7072969959462162,-0.06982669690917959
53,mean_vertically_integrated_moisture_divergence_min,-5.050306559969841,-1.6449608444308952,1.1680964464929684,0.43586205315475274,-0.3330199702289636,1.08290199124984,0.6026188733691659,-0.04438236958671201,-0.2041099743504201
54,mean_vertically_integrated_moisture_divergence_min,-4.557472617994448,-0.7990019379232096,0.44817774862663334,0.377133592272365,0.11807797318920546,0.18850922426501573,0.20992823932680152,0.007462795883620574,0.25587506670539967
56,mean_vertically_integrated_moisture_divergence_min,-1.3729217389514758,3.2924529229791086,0.8610566795416594,-1.0801057101149696,0.08355316031783824,0.4306600743582178,-0.0789462415440573,0.33719181968224077,-0.6569991964801516
58,mean_vertically_integrated_moisture_divergence_min,-4.226214327973746,0.037560988822134836,-0.11911558742948315,0.04460456988565233,0.1342986684505977,0.2931178726852127,0.28997400662002604,-0.0937424400740475,0.11416816241220269
60,mean_vertically_integrated_moisture_divergence_min,-5.400181201277672,-0.6060916383176389,0.3101002023443166,-0.6731368794617703,1.1099211452030757,0.0486917942351471,-0.028605921882466745,-0.25571406235026,-0.6428268034537872
61,mean_vertically_integrated_moisture_divergence_min,-4.63811496184874,0.6451468377258013,0.36938719969955897,0.27378244891881154,0.9534984278640084,0.38044098410110355,0.152340121326769,0.354275038607321,-0.07411966193943054
62,mean_vertically_integrated_moisture_divergence_min,-0.25330053671107494,-0.6254047306894934,1.6660156098044967,0.3060069554635102,1.222095936480585,0.046703845346351004,-0.18240338096873365,0.26559228914555777,0.11437167736365113
63,mean_vertically_integrated_moisture_divergence_min,0.854048238637049,-1.6192707448155186,0.26816799473081854,-1.9152637402905512,-1.6664303650064864,1.1422559871338227,-1.490099983178924,-0.17884062253238137,-0.7237078646241658
64,mean_vertically_integrated_moisture_divergence_min,2.2213988627222334,-0.423499937437081,-3.2595127460318247,-1.1093997637201138,0.05145004080268823,-0.5620832937056475,-0.0755285894677692,1.2427875423845183,-0.2165295359186604
