storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24
1,convective_rain_rate_max,2.2195664225801357,-0.9950560835993182,0.38011667864624643,0.09337896437215755,-0.6372717783129151,0.22551130884234513,-0.04146264327956909,0.13504756964630846,-0.756770047819829,-0.8400718242708127,0.5967131421530374,-0.6984145932141238,1.1624668717983706,-0.5741132040553392,0.028253111628141054,-0.9901778939233996,0.48715297901925453,-0.0862368224550006,0.19769818587141205,-0.28359906738130797,-0.11205936662509178,0.19662444937891077,0.46196789661219123,-0.06159964442190729
2,convective_rain_rate_max,0.684035991881308,-0.9353269224011087,0.5287393111596355,-2.1234632659854698,1.1156965585622503,-0.8845074751933087,0.6310577633767963,-0.49103181202062557,0.7417218064118977,0.17687158393989924,-0.3906587794040749,-0.0770421624919867,0.5354856093222882,-0.1633239897197588,0.052197807251631104,0.16888234724546194,0.07515987455897034,0.3967569661307988,-0.9139443057003546,-0.24985375537306648,0.22290428919247438,-0.03766690866926955,0.47596092287587355,-0.13483881770898673
3,convective_rain_rate_max,-4.792793713423023,4.403055242756998,1.1039531398465563,0.7406804458801802,0.24163905969928734,-0.36850036079521686,0.24277245427071026,-0.5779612717413174,-0.5107458604554921,0.2050897936018948,0.17977869601489488,-0.535568900479554,-0.05735308598789414,-0.1764971159384462,0.5903059804573132,-0.04503011571369638,-0.5184060731565586,-0.6549678861302822,0.18137185877812662,0.11075873431479996,-0.474345792604448,0.34540713901663145,0.4637633557571681,-0.14022465425559597
5,convective_rain_rate_max,-2.818236354430799,-4.536206447612679,2.309303373098705,-2.807174244604726,-0.3755493625068615,-0.3760260866666273,0.5826221632155333,1.267334435639487,-0.8363387301739791,-0.086723666078183,0.056517936726263936,-0.2063485086300989,0.47402207439097016,-0.19747002482694073,-0.3923631066931744,0.970483445353989,0.009515724731685184,0.13901606736590752,0.3619452788755016,0.49235176175446504,-0.19678991820626954,-0.138688796181866,-0.14906763358927674,0.4019043317552567
6,convective_rain_rate_max,-5.5696092833516415,-2.2002775632369933,-2.2070102012926176,0.3242919189027254,0.20895467955372424,0.8283190324292087,1.105663637880349,0.3953211956714302,-0.7155778930922229,-1.411982862837031,0.1714666484707394,-0.4200164715887858,-0.07541179927417646,-0.13891139851425868,0.01652293733972459,-0.025111545914515403,-0.3923149163083229,0.9970468975139171,-0.6002618824507523,0.19754038497490167,-0.18302344930071704,0.22188937847264079,-0.3939240856558555,-0.16340044592271508
7,convective_rain_rate_max,1.196026675697778,2.3725931798615343,2.0910702166144923,-0.09377530075282127,1.0211430825845262,-1.0672963916672527,-0.21886895695752046,-0.7813152918724371,-1.5826485294850405,-0.1595584753757014,-0.3640780071266464,-0.1102107865202888,-0.9926334171770907,-0.7516557180275979,0.020447401645567496,-0.28493083556290333,0.6117726387325215,0.34778859122544736,0.14389166494311892,1.0518258902732074,0.24610299584453768,-0.4964139999288183,0.4012161975651789,0.4580320855067826
8,convective_rain_rate_max,1.469915195197526,-2.065879802503135,-0.14961883454051936,-0.018988853454836155,0.4685790001253695,-1.1236882674250928,0.11172028343372811,-0.9676476925692533,-0.7344218537421283,0.4099810312753324,0.05191621291285514,0.4968616657609472,0.41937246686496216,-0.0020203927133056482,-0.5326438090232412,-0.5481561733516446,0.7566585526298625,0.5840022747935014,0.2525867420379347,0.040613477274900375,0.05588856861170486,0.47686472863678525,0.05598392179969131,-0.19376208217891044
11,convective_rain_rate_max,3.0667167388715764,-0.43976949999755904,-0.09338035785737973,0.6892688467967664,0.712405019281732,0.2977795873780521,-0.7494750517952313,-0.2337557708575377,-0.257399992630758,0.029810785529309047,-0.5783555665245287,-0.3607917178409128,-0.4547802141187196,-0.5145085100383349,-0.8468879921469198,-0.11147469951960337,-0.09253040690942328,-0.6735137874858956,-0.21472795547723791,0.9938689243994927,0.28633148388324736,0.29353429921959623,0.425202859628941,0.30892865178154216
12,convective_rain_rate_max,5.0790971506919265,1.312356515438758,-0.2552773842180333,-0.4554180800680061,-0.07461218055509103,-0.46638437308272374,1.1212058726232552,1.4578670018428233,0.5298726808357388,-0.41069678292788264,-0.6074735091686981,-0.4612518283916042,0.4810263828806885,-0.37238619965078884,-0.6255768862422657,-0.40826650589732866,0.7884719223321208,-1.0005398097207805,-0.03308758250710679,-0.42071848943326073,-0.6134686589729927,-0.12542803303389932,-0.09446280836017806,0.29550906629275536
13,convective_rain_rate_max,-1.925979975607015,-4.689065201798695,-1.1146168517742727,0.22968508751468628,0.5150087059769018,-0.29931221584837436,-0.2162740613263583,0.37763435255773237,-1.1644419539586717,0.43562927247983957,-0.5243086219399832,0.6401993518066702,4.087360460617949e-06,-0.4108812933998659,-0.3695890632334743,0.20453528275000643,-0.54338932761567,0.36368072189444595,-0.36186978066273817,-0.3875339076046489,-0.6843677883748462,-0.36224878490800533,-0.13121950788706682,0.01647548121215439
16,convective_rain_rate_max,4.356054759154737,-3.103440874904028,0.3685987445887635,1.382082916641168,-0.060395848519926396,-0.2432719938995418,-0.2920751605710032,-0.42247746008287923,0.08167356259803901,-0.05917203615396962,-0.05787127185864902,0.1626889307541578,0.7420186349130797,-0.6824972934344065,-0.6543848926538113,0.3288150316045537,0.13788609592592826,0.3837641322650012,0.840302126402278,-0.01496002653434776,-0.2615509865956578,0.47946655751945827,0.10235450747490504,0.25633958349467273
19,convective_rain_rate_max,-1.2986623718046348,0.3488410308082938,-0.9352205659604415,-0.609161912344914,-1.4114101996498571,-0.5810061210757046,0.17621997239744971,-0.23551108776508656,0.3773352850605374,0.7780805269836558,-0.7276775949040576,-0.4291808750875629,-0.0069524866021916576,0.30204526935772896,-0.08197698140263854,1.303621031823922,-0.19489729294269845,0.37160283732965044,0.17889717509641012,-0.22883827310872995,-0.06647056110712478,-0.5363712748346452,0.9470115514780626,0.06841766119065483
