time_step,variable,PCA_1
1,relative_humidity_30_max,-2.308422633650867
2,relative_humidity_30_max,-2.636923884106724
3,relative_humidity_30_max,-2.9957448328397405
4,relative_humidity_30_max,-3.1110608259792336
5,relative_humidity_30_max,-3.019746537285986
6,relative_humidity_30_max,-2.817266261835277
7,relative_humidity_30_max,-2.5279908590005644
8,relative_humidity_30_max,-2.500647854160659
9,relative_humidity_30_max,-2.5027964757605465
10,relative_humidity_30_max,-2.483510222384445
11,relative_humidity_30_max,-2.408798804235444
12,relative_humidity_30_max,-2.2568778677943127
13,relative_humidity_30_max,-1.9520772473589298
14,relative_humidity_30_max,-1.6850028289028782
15,relative_humidity_30_max,-1.5176217067666686
16,relative_humidity_30_max,-1.2857861827090569
17,relative_humidity_30_max,-1.0158074299027764
18,relative_humidity_30_max,-0.7692571608618732
19,relative_humidity_30_max,-0.5479672073196272
20,relative_humidity_30_max,-0.2869038720035074
21,relative_humidity_30_max,-0.08198588553781508
22,relative_humidity_30_max,0.20445500704301472
23,relative_humidity_30_max,0.46540136740400384
24,relative_humidity_30_max,0.8689376094349291
25,relative_humidity_30_max,1.1978370843140227
26,relative_humidity_30_max,1.6905634386400037
27,relative_humidity_30_max,2.1230287110519495
28,relative_humidity_30_max,2.4653947223730195
29,relative_humidity_30_max,2.9736676641217286
30,relative_humidity_30_max,3.3317860414771094
31,relative_humidity_30_max,3.6333688953996632
32,relative_humidity_30_max,3.8256088224860716
33,relative_humidity_30_max,4.074898063859851
34,relative_humidity_30_max,4.360906056001965
35,relative_humidity_30_max,4.632868065767253
36,relative_humidity_30_max,4.863475031022333
