storm_number,variable,PCA_1
1,surface_sensible_heat_flux_std,-5.7804941162888905
2,surface_sensible_heat_flux_std,-5.781090961898485
3,surface_sensible_heat_flux_std,-5.780759145802136
5,surface_sensible_heat_flux_std,-5.779332187070285
6,surface_sensible_heat_flux_std,-5.781173125886207
7,surface_sensible_heat_flux_std,-5.782256056384128
8,surface_sensible_heat_flux_std,-5.78052305245207
11,surface_sensible_heat_flux_std,4.141183568347602
12,surface_sensible_heat_flux_std,-5.78209602173276
13,surface_sensible_heat_flux_std,-5.781404023250546
16,surface_sensible_heat_flux_std,-5.7782881511962225
19,surface_sensible_heat_flux_std,-5.780414283356503
21,surface_sensible_heat_flux_std,-5.780450162590254
26,surface_sensible_heat_flux_std,-5.782947001375347
27,surface_sensible_heat_flux_std,-5.7809558595294765
29,surface_sensible_heat_flux_std,-5.7796532324555185
31,surface_sensible_heat_flux_std,-5.7821337738073275
32,surface_sensible_heat_flux_std,-5.780645098846113
33,surface_sensible_heat_flux_std,-5.779891009273234
34,surface_sensible_heat_flux_std,-5.779647060586545
38,surface_sensible_heat_flux_std,-5.781649687670421
39,surface_sensible_heat_flux_std,-5.781301215085575
43,surface_sensible_heat_flux_std,-5.7810807961245505
44,surface_sensible_heat_flux_std,-5.780389696201912
45,surface_sensible_heat_flux_std,-5.782136916436358
46,surface_sensible_heat_flux_std,-5.781327692745761
47,surface_sensible_heat_flux_std,-5.7812627134656225
48,surface_sensible_heat_flux_std,-5.77871983468523
49,surface_sensible_heat_flux_std,-5.7822319630279315
50,surface_sensible_heat_flux_std,-5.782001958299316
51,surface_sensible_heat_flux_std,4.708713313837082
53,surface_sensible_heat_flux_std,1.4943631216559523
54,surface_sensible_heat_flux_std,5.370756428888475
56,surface_sensible_heat_flux_std,5.108664495509402
58,surface_sensible_heat_flux_std,7.459178228450103
60,surface_sensible_heat_flux_std,3.6651752727801155
61,surface_sensible_heat_flux_std,4.528591420155337
62,surface_sensible_heat_flux_std,6.597045092591621
63,surface_sensible_heat_flux_std,5.627881212088745
64,surface_sensible_heat_flux_std,2.930749757332518
65,surface_sensible_heat_flux_std,3.060782095020846
66,surface_sensible_heat_flux_std,9.955993889161103
67,surface_sensible_heat_flux_std,8.965427292254468
68,surface_sensible_heat_flux_std,1.2353530922504674
69,surface_sensible_heat_flux_std,7.975795859791998
71,surface_sensible_heat_flux_std,0.6212765042826021
72,surface_sensible_heat_flux_std,6.840150287190902
73,surface_sensible_heat_flux_std,3.0036822112642914
76,surface_sensible_heat_flux_std,6.671074400188948
77,surface_sensible_heat_flux_std,1.938508114496726
78,surface_sensible_heat_flux_std,8.696243589498305
79,surface_sensible_heat_flux_std,3.732925162259597
80,surface_sensible_heat_flux_std,6.417009136933706
81,surface_sensible_heat_flux_std,3.299049054909922
82,surface_sensible_heat_flux_std,5.015162293558091
83,surface_sensible_heat_flux_std,7.566986412345827
85,surface_sensible_heat_flux_std,5.235034273113456
86,surface_sensible_heat_flux_std,7.113847816744541
87,surface_sensible_heat_flux_std,5.333930680773143
89,surface_sensible_heat_flux_std,5.640959727613137
90,surface_sensible_heat_flux_std,3.8022333247311098
93,surface_sensible_heat_flux_std,3.625187030562346
95,surface_sensible_heat_flux_std,0.26734263694224425
