storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7
1,vertical_velocity_100_mean,11.290051322373332,-1.7678249578375052,-4.10973667218127,-0.9273199459140975,-1.1027027017019813,2.703955949046309,-1.2870285902015361
2,vertical_velocity_100_mean,9.15103444041075,4.427999544617086,3.45895657206902,1.524218554644751,1.236546872657015,0.2566238357628183,-0.6945313825356831
3,vertical_velocity_100_mean,0.5233302728779758,-1.1193489432827892,-0.4249705141027772,0.36777280077919244,-0.6185740216560475,-0.23773077663088177,-0.1410675262539804
5,vertical_velocity_100_mean,-4.632244127276665,0.289155333127762,0.005224505241674307,0.07979917240632448,-0.18458317504996305,-0.1491696917817836,-0.15358784784928878
6,vertical_velocity_100_mean,-5.393966844111156,-0.27271765617682336,0.6565860712087198,0.05588434364811419,0.13300149727837968,0.34666282922962394,0.09307263840162178
7,vertical_velocity_100_mean,0.6214480454106778,-3.7588550761352155,-2.615368169247144,-0.4417302790283565,-0.12191392536189294,-0.32165315738632017,-0.2445340308230504
8,vertical_velocity_100_mean,4.58624577423004,-2.8093564593711595,0.5198232886588181,0.08080437015562268,-0.05456229341533985,-0.1229074733176469,0.4705569380762402
11,vertical_velocity_100_mean,-3.1790969434725227,-0.9038262139837178,-0.3089041154602111,0.3000297436197997,-0.17308451766793626,0.011329055237585829,0.017221369599266866
12,vertical_velocity_100_mean,-3.6542090253798434,-0.7843321068823277,-0.4182144116918818,0.36906666907144775,-0.200746177615146,0.13983758265929372,0.1007337540855898
13,vertical_velocity_100_mean,-4.565029151442362,-0.02097856595111607,-0.32475702196130807,0.6243443690022402,-0.5764423692502118,-0.0844515200364381,-0.37657777909649853
16,vertical_velocity_100_mean,1.3755202642073374,-0.16420359547041868,-0.35609607378967906,0.06957740678092438,1.2562310227135867,0.010272854781941912,0.05085766922488239
19,vertical_velocity_100_mean,-1.935672123852734,-0.2608943550083248,-0.23523684577055654,-0.05994460413110029,-0.22389974769026524,0.3110293051345868,0.15174497277474464
21,vertical_velocity_100_mean,5.472273972347391,3.522826816656048,-0.946916261234698,-1.7377297234770104,0.2230860533096355,-0.40914496924187926,0.350838134488424
26,vertical_velocity_100_mean,-0.2826468626567517,-1.5504871327877936,-0.9841110752927454,-0.521925801292354,1.2361483659108774,-0.6360079745923427,-0.08206740222551054
27,vertical_velocity_100_mean,-5.246066342591989,-0.040221015239166026,0.7282351761717848,0.02398274224675655,0.2786297994065648,0.44540810858100904,0.1824317782758757
29,vertical_velocity_100_mean,4.641724708127324,3.3041717035661318,-0.3225754511395301,0.5296691182018697,-0.6038478979350059,-0.6999742723492903,-0.0716741280399945
31,vertical_velocity_100_mean,-2.807606129672535,-0.26886036438073474,-0.5018470538014769,-0.31257991699990045,-0.008041009131424167,-0.18980814388177675,-0.19894282147059075
32,vertical_velocity_100_mean,-4.888312804018045,-0.4917936204074765,-0.02734215845640817,0.3134513453257898,0.11418682707586508,0.060006787219771485,0.10381651726959606
33,vertical_velocity_100_mean,-4.449259024977645,-0.8842588861596226,0.18755467453054037,-0.08573441802587586,0.01008699563482565,-0.05243641555893551,0.17874760098249984
34,vertical_velocity_100_mean,-4.899397984396472,0.25095408899628724,0.3608211231395528,-0.4378794529301778,0.1351594933829143,0.05239861452905518,0.19993339192680037
38,vertical_velocity_100_mean,2.448228106488893,-0.44492293983853914,1.4483304314109742,0.6073282816003396,-0.005476004928495383,0.5930889715533555,0.1686529983091969
39,vertical_velocity_100_mean,-1.1338750675206746,-0.7267570303816087,0.30074226211674493,-0.1593264112848618,0.08504124161774174,0.004372564423456871,0.13491768462426795
43,vertical_velocity_100_mean,4.900828745040308,4.999224051721519,1.5772497602105815,2.5856119591519287,2.3234372249736817,0.6519923138353342,-0.06144396231122858
44,vertical_velocity_100_mean,-4.803879894625743,-0.18560370608869772,0.7690960749565766,-0.12526397209091988,0.22697833805576814,0.2839810171787039,0.3441811612716257
45,vertical_velocity_100_mean,-5.737277372071382,0.5565896398518397,0.6172121993447227,-0.07478303906586971,0.014322029080615448,0.3417723264183598,0.4112481685657136
46,vertical_velocity_100_mean,-5.24280343056864,0.04463418716966959,0.5503806301603007,-0.08098927039464389,0.17761339059385614,0.018368329605471006,-0.05077307430587927
47,vertical_velocity_100_mean,2.3426589431622107,-1.7898343161910366,-2.734904865787946,0.2588441017017866,0.14514135099560468,-0.811919728740852,-0.010153600416199032
48,vertical_velocity_100_mean,-1.4204775472771225,-1.9012175145355037,-1.5669924822952253,0.26023192833587167,0.34299768589934815,-0.5010933232831171,-0.2360144724806635
49,vertical_velocity_100_mean,-5.432011888258965,-0.10168302439622173,0.4534087156741103,0.04928671950979117,-0.03722624790683725,0.07764083724677837,0.21510629530770956
50,vertical_velocity_100_mean,-4.789400140025784,0.22075842670903903,0.2984081907519088,-0.20027027549946805,-0.009695574873667607,0.26438524493254767,0.09096089394218339
51,vertical_velocity_100_mean,-1.6475313917680698,-2.1724833865317743,-0.6967224489000942,0.18386493611701235,-0.12549384349753137,1.0819003731517909,0.08908403456006063
