storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10
1,vertical_velocity_975_max,10.832415667674981,-0.4681905523087109,-1.6929351848846075,3.492634646601356,-1.3946325622885576,-1.4565893881363592,0.35853455883699586,-1.2120693017725077,-0.8914901445040971,-0.4829861569682008
2,vertical_velocity_975_max,5.9959634362327785,-4.609036024592046,1.7775198643654586,-1.0145687099407914,0.8528579426666717,0.4886730694586841,0.49713057803721405,-0.5616365056398509,-0.2654853096863985,0.17950706112444495
3,vertical_velocity_975_max,-0.5832258919054977,1.0684139885250798,-1.7012609834862868,-0.027213333337235624,-1.6478217802320603,0.11852372776286854,-0.9636934033240991,-0.5650623025524071,0.1098557208554118,0.11074079494563667
5,vertical_velocity_975_max,-4.663015162057732,0.37764236989989775,1.003301166543194,0.03451654411731249,0.876882532894206,0.9827501909463418,-0.09989381186501844,-0.07124160078874962,-0.9048824618813384,0.3504773261889537
6,vertical_velocity_975_max,-0.6022408678319696,2.514619049930137,0.19254878362328642,1.403113249629195,0.8484528007613409,0.30547613404926305,0.20234196382221012,-0.14316526643362748,0.1876183697612292,0.02530258310739438
7,vertical_velocity_975_max,2.591425728344529,2.0803988292936286,-1.362724213798964,1.7093666821254578,2.0028035181723305,0.7809923172167474,-0.13071405290366558,-0.21218512233293832,-0.09571320782919374,0.4954705866836242
8,vertical_velocity_975_max,5.31798654318716,2.5330608579063014,1.2554991789185486,1.1185487188518275,0.17098612937281862,-0.6600645625487688,-0.010819084710290075,-0.35702264043979787,1.361460284556242,0.9682614799629562
11,vertical_velocity_975_max,-4.786361260904539,0.6722446207908179,-1.0759535980950383,-0.27085363187768174,-0.45463173197568624,0.27862346817106903,0.483849595966279,0.41295249458380495,-0.177093568026298,-0.31425125032204
12,vertical_velocity_975_max,-4.275668116719812,0.21275052067321018,-0.5379617208081096,-0.075869797921117,-0.2767472919254864,-0.055554409047328744,-0.10712791071268424,-0.1278225381258083,-0.15871050307874096,-0.23517347690783366
13,vertical_velocity_975_max,-6.537833777351875,0.8528535887536878,-0.10776554372277419,-0.18254235041619424,-0.4570424752357039,-0.05600882090221428,0.7798775301589442,0.1253090749091531,-0.14579374661470532,0.8675851820763884
16,vertical_velocity_975_max,-1.026118286181196,-0.7173330350480739,-0.558484769976264,1.0967028977184148,-0.2304981277336401,0.9630616668157438,0.33454114503944987,0.2734047967107229,-0.134840993777448,0.08486976019707113
19,vertical_velocity_975_max,-4.099730557828866,1.0528015781132873,-0.48090427902798705,-0.25844977293165033,-0.32156434961566965,0.09143262144746572,-0.2114706865396189,-0.2943015070957756,0.0171062183719459,-0.28380713657908624
21,vertical_velocity_975_max,2.071423003880709,0.5741549664368146,-2.132786117021796,0.12931990448155015,1.832363134388604,0.21925599098069978,-1.3249773183698457,-0.16316562724742734,-0.08318123293997472,-0.37362033838759073
26,vertical_velocity_975_max,-2.3150988421712335,1.0649953889864985,-1.1102765067002651,-0.8985888146267422,-0.44247888068885244,-0.3346205657997361,0.7852238305252359,0.36554880019494945,-0.33696206298198933,-0.28411038912382314
27,vertical_velocity_975_max,-6.529993548858747,0.6394651126319645,0.37589306349293344,-0.17664328968325965,0.5370886764932588,0.02066762077478188,0.14215975033802783,0.08578310024038008,-0.08440713771667685,-0.2950734756290454
29,vertical_velocity_975_max,3.626608289062498,-5.0552317701338545,2.7738378247565927,-0.15002916962425505,-2.005527547190546,-0.3836329230848373,-0.2232920967430972,1.4357583917018253,0.2604104024753358,0.20091142850212937
31,vertical_velocity_975_max,-2.9001940650187796,-0.11146831659227217,-0.14712287857441714,0.06301034657253221,0.8249074282594959,-0.3499219740777725,-0.08820501416687176,-0.23440194372541007,0.30968013394742455,0.07391341589308609
32,vertical_velocity_975_max,-1.3490763003190462,-1.5738391936067386,1.2738233349017516,-0.38220239848494714,0.07687191337625462,-0.35753461815598914,-0.20684187260780715,-0.39166210389383194,-0.03332699367533673,-0.2922133571049313
33,vertical_velocity_975_max,-3.4795828038146106,-1.2232946493292522,1.1890677256254416,-0.07213287569807653,0.15245948659185482,-0.14529288336411444,0.6296285232443962,-0.14335500440188637,-0.2240744919678841,0.580981996993725
34,vertical_velocity_975_max,-0.2025391825472431,-3.2858642841902683,2.944074071094078,0.4679882784211267,0.11693031489264366,0.8319925456655688,-0.006199969140898831,-0.27142926554520297,0.8649817632377951,0.1767768547305763
38,vertical_velocity_975_max,7.516604567191919,-1.5447786185524663,-0.22016979264626987,-0.9599903296797327,2.0943116685607577,0.8609716389431495,0.9552988602617716,-0.41627151200940976,-0.3728008732416025,-0.5214175820148552
39,vertical_velocity_975_max,-2.3971721854853643,0.5354329558248613,0.28273409760244084,-0.3112711454640645,-0.06416413153106948,0.1827270302680041,-0.41833071876675954,0.25034037993682934,-0.010104250419856346,-0.13406814456539287
43,vertical_velocity_975_max,2.4457205045346977,0.03034248477669563,-1.9843676855407626,-2.4854958440353894,1.7509337597659331,-1.1813363123308547,-0.8103673177969593,0.8457730923650245,-0.12431409436843227,0.20764299487294463
44,vertical_velocity_975_max,-4.478809042827751,0.0196645343640332,0.378339032391885,0.100457891807408,0.7144405818288141,0.4211662948774531,0.3646935405904288,-0.14723975204161383,-0.15724537619158643,0.2106561920860035
45,vertical_velocity_975_max,-7.42107928622398,0.4309882552907955,0.517033837848193,0.11067770026451604,0.3146021216682747,-0.1977212729722999,0.26534018659209513,-0.047853993488436,0.041312808490284195,-0.010148663126685529
46,vertical_velocity_975_max,-4.821766717468526,-0.42092488332241246,0.9779325458349446,0.21234341029761236,-0.09550497384020432,-0.5487239455317013,0.047797202744645696,-0.25157083452999496,0.03082587672763782,-0.03231642016288503
47,vertical_velocity_975_max,1.1918379422708543,0.8130061934812183,-2.008446188970972,-0.47122577075195715,-1.3743389217136412,0.5322750763605213,0.6832090697786459,0.496012716826781,-0.4484029954568647,-0.05524354882178916
48,vertical_velocity_975_max,-3.460215780082953,1.4979281867821594,-1.9675136950221852,-0.4375700384671547,-1.0396519128386135,0.24359441890352126,-0.38556274948216634,0.02460276196516108,-0.23576965781247244,0.796282749159057
49,vertical_velocity_975_max,-5.218426795556152,-0.373909810920181,1.0282824735112417,0.09566807090751325,0.0432336050107913,-0.42104901454903965,0.440996941316236,0.05002908436503616,-0.2052838002152561,-0.2070364802772803
50,vertical_velocity_975_max,-3.1846408370682435,-0.6143838322184368,0.24466002682882104,-0.09982744350541356,-0.2682896009480653,-0.8779154024957943,-0.04225469581923105,0.01923703027361101,0.2229135187607801,-0.21880398072209892
51,vertical_velocity_975_max,-3.702278926749104,1.731083700024125,-0.6110921939888638,-0.585153828270072,-0.38391480981273274,0.15517715921950298,0.0019347245669831656,0.03299349839825727,0.21776206032461595,-0.39791855281407396
53,vertical_velocity_975_max,-0.22095345372049052,-2.0700475711819806,1.4055414777509123,0.2660153969395065,-0.4739997065504501,-1.3625397527357093,-0.32303340992346957,-0.5443265405642095,-0.3674173696673058,0.016288632556561815
54,vertical_velocity_975_max,0.6851522939917551,1.2270083861707157,-2.2573804860132465,0.9092909748446196,-1.0053272967436535,0.49535277127160054,-0.8516149803864143,0.25746884557460037,0.8254463633270613,-0.6337792717367285
56,vertical_velocity_975_max,-3.512617239455666,-0.1833679780830762,0.3077014808392456,0.3563454154918276,-0.052009238624610286,0.483509985123704,-0.0692252580097524,-0.6998952424063386,0.48949076464885416,-0.06964110268648001
58,vertical_velocity_975_max,-0.26557687036837024,-0.33788092455248336,-0.7484487386740641,-0.7879593972598584,-0.06566098953021136,0.3199206277640008,0.41469356583951794,0.4243999269304267,-0.08884500557841543,0.08849178229808519
60,vertical_velocity_975_max,-4.060961581015029,-2.413269184793045,1.0282665249835585,0.683840095225959,-0.7207149173817008,-0.7475519047908851,-0.48199501403520423,-0.4425139051697858,-0.31936722521004896,-0.11654329812121056
61,vertical_velocity_975_max,-4.946665296577501,0.4252404875607604,-0.30063326455763295,-0.11450608688205503,0.3910158960965917,0.12200644423303045,0.45415802814098016,0.1112950730730026,0.3834233174423543,-0.22660892733381285
62,vertical_velocity_975_max,-2.3099933517561233,-0.6316947785694115,0.8006284831628205,-0.4847471107883505,0.39070853681094586,-0.08404393510315927,-0.08358928281456743,0.12771115214265316,0.25303080648643544,0.18137562424494685
63,vertical_velocity_975_max,3.9849092005107125,-6.672496575958594,2.3740557302764507,-0.2326174864316076,-1.2729165792303667,0.6372702694301353,0.05271576010970028,-0.14935223476044893,0.9478413809394328,-0.19001167523813828
64,vertical_velocity_975_max,0.6032219094542194,-1.5803130461038357,1.9551335264279124,-0.33376465863292726,1.160550495166828,-0.12889212714126752,-0.9660279739902845,-0.40073274375728124,-0.6791772080371443,0.11539113369861576
65,vertical_velocity_975_max,-0.6816307109321255,-0.5704508363151755,1.5782846176027363,0.04830474293817189,0.5331945272908388,0.17106835572465623,-0.6652889576664001,-0.1643511591922046,-0.3907055665958986,-0.006353664928787332
66,vertical_velocity_975_max,8.733789739725477,0.8957262870786924,-4.572370328024217,-3.8458650240447327,-0.9311790015810902,0.3376630253916208,0.618191601729952,-1.0642694852213634,0.5011353617632003,0.28854706943808955
67,vertical_velocity_975_max,-3.9365566299207804,0.8693530517568405,-0.48805968760848906,-0.5265937416100536,-0.3769059610458048,0.17297063337096807,-0.5908209032183775,-0.014726549523232012,0.08362403857414208,0.25212281112704404
68,vertical_velocity_975_max,3.399220364889439,-3.6817996618518745,-0.036539463030103005,-0.6813453284027658,0.7869658118326026,-1.666745636337524,-0.19701158463309862,0.9244702873631451,-0.20662572023205225,0.3361198321722874
69,vertical_velocity_975_max,-1.398239582907946,0.7921700484800168,-1.4078908648395783,-0.19332503664958756,-0.835058597487467,0.5795118764387985,0.04883257468216774,0.46406054326060003,-0.7070634142073873,0.2309668528084599
71,vertical_velocity_975_max,-4.760077781893679,0.5743359032462616,0.8364505368885475,0.4804501161836018,-0.11727942669093597,0.09314415890339457,0.16553178439964544,-0.16231644831589692,0.34963417309458755,-0.16793426493960767
72,vertical_velocity_975_max,-1.5635527841215704,2.9822185112824884,-0.8746184701507018,2.190566109192426,0.7811684050390428,0.2156485607014911,-0.14448901133433398,0.0047584159452652465,0.5358878332342191,0.24128727470492276
73,vertical_velocity_975_max,9.900321455177966,13.189338677229681,6.90321753677212,-1.9617334914073092,-1.0690428470536506,0.10848481973715204,0.017992400805645667,0.04183730646687543,-0.22726163485513576,-0.2133503798381758
76,vertical_velocity_975_max,3.682012923076278,-1.8301978130182004,-1.4323934405253271,0.3648878665257866,-1.3330160330862697,0.7824374730362199,-0.3096891019571356,-0.10108793970317477,0.08073198376162938,0.3778914189947277
77,vertical_velocity_975_max,-3.377154846739434,0.8702252318499849,-0.659100657488092,0.6466167728951382,-0.428266234980223,-0.3891925606967218,-0.3486084025734542,0.18761686181546017,-0.08809960669182552,-0.27251553304107456
78,vertical_velocity_975_max,4.484178936063322,1.5638291984950312,0.14304984112871685,-0.29097368013061314,0.12640419699719863,-1.1129317429160017,-0.9353425782643275,-0.310620397593838,-0.3045598377619128,0.6729612592073754
79,vertical_velocity_975_max,12.49123994977075,1.4888924973964242,-0.3882992172022591,3.886142152585496,0.8088347076566204,0.18895086014107412,0.845785151413764,1.1573711822338018,-0.047798459601508164,0.14432944495468086
80,vertical_velocity_975_max,8.574683569886327,-4.513338051206221,1.3935416835176702,-0.5482121473849494,-0.4334790129331114,2.0161384689710395,-0.6768182964323044,-0.03201747776533154,-0.7884469468231067,0.0665441806243066
81,vertical_velocity_975_max,4.780990898682162,-0.9322710794542596,1.2782831456867156,0.8633090724485387,-0.27557932707851646,-0.030958642361986637,0.16375882159135824,0.2444352624923786,-0.06673868777058012,-0.5494502015826791
