storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18
1,vertical_velocity_20_min,-6.563431721140652,1.395886267597679,-3.272629284810979,-0.48447002466776595,-2.3152805352329473,-1.082373596144473,1.345405946640288,0.7693332161877413,-1.032698529603531,1.1460343405992808,0.9511477357617717,-0.5807556524273924,-0.37277657784641427,0.23237238691023385,-0.0968049700697726,0.21504416388655265,-0.1827942756888861,-0.14549988383657425
2,vertical_velocity_20_min,-2.0453645421635875,-2.706727046784318,0.5091835594367963,0.03991233079989131,-0.604378482064966,1.3340749636348013,0.008035305473213907,-1.3779456087825896,-0.8181251352649548,-0.6727155487103754,-0.4043605078118227,-0.846162958810588,0.1687455205563206,-0.049704341992881186,-0.05508107176259886,-0.4649181203280943,-0.06602162684333,-0.07574590720557492
3,vertical_velocity_20_min,0.4757911043850103,-0.19959036650306214,1.8903763997865763,-0.9821758376465233,0.36131875857710716,0.1439893051761836,-0.8078445323749981,-0.2541097053852491,-1.2549772889944009,-0.3839343231923484,-0.18638901811345107,0.7953171565473615,-0.01628781614997247,-0.5942008077930787,-0.650336766497772,-0.004051718822724848,-0.6380738682473418,-0.09357256541687536
5,vertical_velocity_20_min,-1.187173963904319,-0.38589923992290603,-0.10278745533688785,0.33298756585154293,0.4944250847352113,0.6994143449078415,0.013211398962650464,-0.9194481433117719,0.3828830162595493,-0.9300993945376896,0.39258335579607256,-0.4805255385063817,0.7157976631702915,0.3355073592543894,-0.17860387122591545,-0.2689833783096872,0.49680714638540285,-0.09225752305453351
6,vertical_velocity_20_min,-0.9979095774790997,-1.3650762266620584,-0.4767362387216222,0.9325244556476207,-0.7497850946873091,-0.2272167316417331,0.05603060423974735,0.7593322559693338,-0.381558616049546,0.5710177841248966,-0.6322378645183474,0.026003368422213593,-0.16125945665375346,-0.31095169436078907,0.14525671918392924,0.022866603239448672,0.21908917102384953,0.1123460904997345
7,vertical_velocity_20_min,-0.3479729024334423,0.4103104508412697,-0.13166089945363868,-0.7351195045379615,2.470786957751111,-0.27047766110878546,0.6183525704900872,-0.34862207435811055,-0.07040779902547767,0.44934538637871374,0.303062098524101,0.6125308840759524,0.7929028037418845,-0.1805919165902251,-0.10115197154498101,-0.462484491938718,-0.15887229012874082,0.12103250819326467
8,vertical_velocity_20_min,5.148920917125425,5.058276631930071,-0.24522541709199974,-0.38409772194618375,-1.6007154009206537,2.05518870352921,3.7457428997391213,1.9392104441938567,-0.4756943815651187,0.3234879351115835,0.11986703783206103,0.35071587950008193,0.59473269224445,-0.34004071252815904,1.2154772474247677,0.01438454582714108,0.39725187666137235,-0.16246273361048605
11,vertical_velocity_20_min,0.5252672706056946,0.8358623653666124,-0.013101636650612375,0.7722703630574244,0.5753674945756464,-0.5564676059536386,-0.6172227103754747,-1.7314796358117561,-0.9630329760546568,-0.691483422303295,0.0680022218603828,0.2332664849142752,-0.11576613653610719,0.27495027168866365,0.6769109449346942,-0.23420287869653178,0.09484464316031237,-0.5657413900931446
12,vertical_velocity_20_min,-1.2207664011059343,0.7312628162468578,-0.18017960173651024,-1.146519347066047,0.6013927584270072,-0.5148513010316028,-0.9681515770079197,0.06050705054912577,0.717029189848261,0.9219807294301701,-0.9615280796951633,0.2931516282441908,-0.01218339476886869,0.19326501287353465,0.4028809304324853,0.23375355973936093,-0.35295230849019965,-0.3562939299597298
13,vertical_velocity_20_min,0.6262303888348972,0.22423334196831948,0.5837896305511202,0.45038590072128565,-1.6224811991103643,0.5125315353769623,-0.6683759801169665,0.40700060077229483,-1.7646100996195122,0.21679407790611027,0.1638995413496875,-0.23820115752351506,0.03149322624332918,-0.8325618507197973,0.02024291583519981,-0.36717612672832917,-0.13820154229760653,-0.33617607824024276
16,vertical_velocity_20_min,-0.5508956285494245,0.5121420866549672,1.2178220798914958,-0.45067320242832204,0.748929472353515,1.5388832137507558,-0.17375477484494076,0.21503300396968797,-0.4271303102490207,-0.17446486142762072,0.06857112717510525,0.15509513906736952,0.7348450947007287,0.6645824224047544,-0.32298597326916517,-0.5880754784874695,-0.3054369219597112,0.444122484793457
19,vertical_velocity_20_min,-2.5956413467819965,-2.120486306035544,-0.8398943782672809,0.4152335292092065,1.0573045160793162,0.0661085913362075,-0.7151656492552292,0.7486757679088267,0.7592471084279101,-0.22051762442996864,-0.678668085395223,0.13330596561559213,-0.48468460232976057,-0.48890562012242716,-0.23967664827661125,-0.3437479414973802,0.3967703653567339,-0.001549885548188662
21,vertical_velocity_20_min,-0.18066170630932774,-4.787563544268111,-0.3023885268231388,-1.7695757129315834,-1.0892402857416783,0.3974667482690226,-1.130085972472742,0.4847174475673007,-0.9674897425553892,-0.7327466529431346,1.227515855024236,0.8079274822602013,0.07219459193822347,0.9094230232254892,0.1713911104222842,0.8309051623089068,0.05369562002810269,0.17219426529735612
