time_step,variable,PCA_1
1,convective_snowfall_min,1.3626238621612996
2,convective_snowfall_min,1.3626238621613007
3,convective_snowfall_min,1.3626238621613012
4,convective_snowfall_min,1.3626238621613012
5,convective_snowfall_min,1.3626238621613012
6,convective_snowfall_min,1.3626238621613012
7,convective_snowfall_min,1.3626238621613012
8,convective_snowfall_min,1.3626238621613012
9,convective_snowfall_min,1.3626238621613012
10,convective_snowfall_min,1.3626238621613012
11,convective_snowfall_min,0.31119359481918957
12,convective_snowfall_min,0.31119359481918957
13,convective_snowfall_min,0.31119359481918957
14,convective_snowfall_min,0.31119359481918957
15,convective_snowfall_min,0.31119359481918957
16,convective_snowfall_min,0.31119359481918957
17,convective_snowfall_min,0.31119359481918957
18,convective_snowfall_min,0.31119359481918957
19,convective_snowfall_min,-0.8953215211203646
20,convective_snowfall_min,-0.8953215211203646
21,convective_snowfall_min,-0.8953215211203646
22,convective_snowfall_min,-0.8953215211203646
23,convective_snowfall_min,-0.8953215211203646
24,convective_snowfall_min,-0.8953215211203646
25,convective_snowfall_min,-0.8953215211203646
26,convective_snowfall_min,-0.8953215211203646
27,convective_snowfall_min,-0.8953215211203646
28,convective_snowfall_min,-0.8953215211203646
29,convective_snowfall_min,-0.8953215211203646
30,convective_snowfall_min,-0.8953215211203646
31,convective_snowfall_min,-0.8953215211203646
32,convective_snowfall_min,-0.8953215211203646
33,convective_snowfall_min,-0.8953215211203646
34,convective_snowfall_min,-0.8953215211203646
35,convective_snowfall_min,-0.8953215211203646
36,convective_snowfall_min,-0.8953215211203646
