storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
1,vertical_velocity_500_mean,9.040066354287719,-4.935087981086849,-1.5974350195280338,-1.4121497500765412,-2.4930872979823624,-0.6383463680716679,2.2565200728773553,-0.8697640367716212,0.6780116564392774,-0.7426500236917318,-0.3933171184729796,-0.6042882493961623,0.07850794443750142
2,vertical_velocity_500_mean,6.142031776936881,-2.7316845930757885,4.108201471111316,-0.4588015543895354,-0.8715516296147778,-0.4124516265837634,-0.4954725027148944,-0.13711730557505156,0.8793485841152592,-0.6109816680399353,-0.4937667978634695,0.013346999515160236,0.055279403114246534
3,vertical_velocity_500_mean,0.5687588604772943,-0.11300327847585441,-2.0024633046191775,0.5471909157675501,0.9538318068323145,-0.2840873867132323,0.0968289212562224,-0.8220624480333178,-0.2253923540916755,-0.3404705329995962,0.336915003087058,-0.07522736798497347,-0.10756696869685818
5,vertical_velocity_500_mean,-3.9921299086759237,1.7748033598505992,0.15213323579383092,0.3741973480505613,-0.5037328115037711,-0.26604648967316236,-0.17494233294955003,0.28884171429229416,-0.007786202446761547,-0.01895724401629776,-0.1281436037371925,-0.03223507834955141,0.025880795644374108
6,vertical_velocity_500_mean,-2.9114905478855473,1.7256184889758868,-0.3811149030103809,0.3290582735964285,-0.4269684369738674,0.07458632724419273,0.4510491892294508,0.08386537583211366,-0.2122272316788778,0.4275237212731078,-0.02718190876608518,0.06303930091554155,-0.08383708067743373
7,vertical_velocity_500_mean,3.432366718854375,0.1522700671548641,-3.675558481628613,1.4903349659407252,-1.2821779604712882,0.9876614414414425,0.49881742737839624,0.8931599018401987,-0.2063601593101549,0.02897047889879737,-0.06872775696032973,-0.18000995552327934,-0.32329192449353233
8,vertical_velocity_500_mean,3.016921264699726,0.6818434768136373,-1.8443583319415287,-2.2503448774358943,-0.9619646798012842,-1.4560532733374842,-0.3891112118275071,1.1212473672489887,-0.46175633030462626,0.21495767301952792,0.013979901491048234,-0.9891019637485514,-0.19452442208480225
11,vertical_velocity_500_mean,-3.732427089250391,0.6719493740990653,-0.8815815516778653,0.3925092122685391,0.07049312695781518,-0.25154920934163283,-0.1854378756639915,-0.1410344772174964,-0.0018469004976790996,0.05568573961047873,0.04345272844251585,0.15319619559321287,0.13665087739527876
12,vertical_velocity_500_mean,-3.1184409243619093,0.9413041043123018,-0.28259016036145446,0.3831516713046358,0.06639967806195678,-0.1969372991485657,0.3907992229999886,0.0829619111923728,0.14178524152897717,0.18386345054547515,-0.14329883390370535,-0.09424650313531384,0.24911413314216588
13,vertical_velocity_500_mean,-4.615458187907152,0.8810012937302122,-0.616034599553344,0.8488448114051993,0.7431666324218776,-1.0981245169468181,0.4188164695301011,-1.3266557566301878,0.03120773259188633,-0.09522911231485474,-0.09451162592537134,0.06563729062979234,-0.0625435195220355
