storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14
1,vertical_velocity_950_max,-2.5986732954917184,-1.9570133196249322,1.067131948163971,-0.35904417918418424,-1.6478891010929824,0.16932634382781592,0.11906633004162283,-0.4828718498729171,0.07188061986412009,-0.17317966727893588,1.7033134442177984,1.4815990567266242,-0.293489573790209,-0.32350261220515936
2,vertical_velocity_950_max,3.300917842260645,-1.9489628791900167,-1.6972202242420178,1.06356011011688,0.6030337689595351,0.3848692025603549,-0.4214681458947035,0.7141672194437026,-0.3290087163175318,1.214221358095046,-0.47017634472672537,0.135974501261618,-0.108691590729534,-0.24879187220654542
3,vertical_velocity_950_max,1.9859087347481332,3.156819234656193,-0.14258343459609002,-1.36369318349642,-1.9274666857329787,0.8403780784051533,-0.9140689268715493,0.45494844556619496,1.1895652814943845,0.2203477385320704,-0.2989350522812562,0.33594575293799084,0.08065729194829153,0.04553545896735526
5,vertical_velocity_950_max,-3.2839219051975226,1.4801547966477826,-1.5885048271379851,-0.9431332827684363,0.6054267554819921,0.14036276830428476,1.227866139487714,0.38776542363030575,0.43197284766568456,1.0335277945073225,0.061424371967636913,-0.18785348919035855,0.32044845135776495,0.3569623823483951
6,vertical_velocity_950_max,-1.8135879394199823,0.3840335690584017,-2.3514693412404815,-0.33633694591384733,-0.19063018225724773,1.9775367184426016,-0.6220617121379596,0.1317333250741264,0.7490797477452702,0.6701832370301418,-0.6061971506321081,-0.09173482652919429,0.05581174597101352,0.07095392144784438
7,vertical_velocity_950_max,1.2528777981663353,1.1166795713689361,0.7598456288640082,-1.9209430270342405,0.7232542964905954,-0.12968773985128504,-0.4771546145707888,-0.37880530880817814,0.27184971555732984,0.004190272166724695,0.35013913729123597,0.20403056743664055,0.1930038073337078,0.3760504050986773
8,vertical_velocity_950_max,-7.3614239164378334,-2.536025971309453,-0.8402082748422203,-1.0529992603505507,-0.1622886562627231,0.1301269004424001,1.023076659675165,-0.33510706931864065,0.14454533892507948,-0.5636940628188323,0.3994527220599886,-0.525742672382708,0.7173585147536339,0.10884121394663847
11,vertical_velocity_950_max,-1.0394843990789735,1.3877906104710958,0.8105957393557331,0.8156646896613948,0.3285288701751662,-1.1654949167225548,-0.9793196127811367,0.925502281629803,0.35101680576080996,0.5887210509507889,-0.10942836949492671,-0.06925101498985353,0.13612807299291108,-0.2449231310314805
12,vertical_velocity_950_max,-1.5774524589955126,0.25036996543467493,-0.8486570526905686,2.0889590852112043,0.6532395363267449,-1.1281550436837635,0.19994939496810019,0.24207511841812254,-0.9320221171262711,-0.36582661850024506,-0.5012709903071991,0.5635344545739789,-0.05881341263769125,-0.2054727214889235
13,vertical_velocity_950_max,-2.065738049186797,-0.28168807731171575,-0.7278359591829533,0.9262695465455177,-0.9845516002079572,-1.306391173044279,-0.10575681134511487,-0.7149044759121932,-0.35451984898702543,0.05204205795956589,-0.7547932362234309,0.3059318011412369,0.3733595405417195,-0.08563477389769894
16,vertical_velocity_950_max,1.952497986374437,4.364423144355671,1.1983196502081372,-0.057631853111768466,0.6371550849837336,-1.0430918666195677,0.45460986138837584,-0.015899638264095715,-0.16047688552808823,-0.2838732478618681,0.19806550885064905,0.29539639112917926,0.12540019253790816,-0.23936704591057792
19,vertical_velocity_950_max,3.2052659392586236,0.7448842335262059,-0.9078637235149881,-0.5947005097619971,-0.7543063125704534,1.2686955738768928,-0.3041755175520604,0.009967182275838642,0.1389943122748683,-0.4459161610241829,0.031640550842741984,0.4079470894217689,0.41013803355982265,0.16651289122222776
21,vertical_velocity_950_max,2.1835152908495616,-4.798734525392552,0.5462740033138936,2.442349934153167,-0.49859986032448134,-0.7822573476854141,0.2255627893030692,1.2422522372465032,0.4517200949886024,0.15318974132338237,0.20078923210688818,0.15182534807138137,0.2551490208761646,1.4756662578718824
26,vertical_velocity_950_max,1.4938736680715576,0.2014907089855918,-0.01765341052600418,-0.2892738700055695,-0.1567228904319776,-0.0439050824862094,0.03319767978476633,0.44294217708775574,-0.28525211530294126,0.6177655544543292,-0.4938847981986479,-0.11072965547090732,-0.19705089267993733,-0.4359978689808137
27,vertical_velocity_950_max,-2.01847435490369,-0.17681635666986642,-0.07494035107879288,0.3531448952197325,-0.2581834828853338,-0.35578060087482033,-0.4621599653463187,-1.188552580173759,-0.8685490392946744,-0.14278028442501806,-0.40493379174088096,-0.3759499842315292,0.1631047113352269,0.14056542330457103
29,vertical_velocity_950_max,-1.6751454313368423,-1.5976318350486167,-0.7687128749856572,0.849967229583644,-1.519067296359952,0.5885468212978606,-0.3265951461952921,-0.20097220223762804,0.7946902891214407,-1.1262810315793648,-0.28614350709050695,0.45975862187006006,-0.053243487446728986,-0.7958477871882091
31,vertical_velocity_950_max,-3.486280958178595,1.0040934410837596,-0.4914930931766854,-0.24219325425430113,-1.4991152815133637,0.3711364768917349,1.174476898015422,0.5829649544592335,-0.6967571035591492,-0.1434854799450421,-0.4988177869146301,-0.4692711741368051,0.1621059240589922,0.11637037564286759
32,vertical_velocity_950_max,1.413937175373781,-0.8192199545392103,0.3926180086013615,-0.6826564141615876,0.6646279760020951,1.0467919540436206,-0.9431017422736481,0.584849802039666,-0.19652843948320764,-0.9189420343817928,-0.7640603631933284,0.6899345203355413,0.1503663995006178,0.022359722260717523
33,vertical_velocity_950_max,-1.5465566190353224,2.386530398595598,0.693127975997152,-0.8486779929415497,1.4535541654822657,-0.11933248001576553,-1.2027456643417873,0.4953794611503998,-0.4512579251555799,-0.843052182923802,0.2853180441909771,-0.48261587789715565,-0.28348798605161984,0.36789324714552135
34,vertical_velocity_950_max,-1.5094168168755484,-1.9340080838639,-0.31106444153609575,1.3618737577561328,0.9536820810215281,-0.3693196759328105,-0.8179846856873598,-1.0445985836763845,-1.061683679626602,-0.12303847812840653,-0.3653270153682366,-0.12674623353219364,0.3766620333490292,-0.09685539761330844
38,vertical_velocity_950_max,1.2967966027258402,-0.450077728179667,-1.3022195497404743,-2.313069094594034,-0.8994327620520219,-0.30143600846142826,0.5976590021321865,0.3660522350299384,-0.7089377402272705,0.9373296195575446,0.00973967761427562,0.8786172041764838,-0.719127687503401,0.5148814092582598
39,vertical_velocity_950_max,0.19625423095832775,0.49927705869111644,0.4227181406086284,1.5022415776427012,-1.2580555704946692,0.1842195489946459,-1.4760472769159858,1.0444981336154857,0.37153499047744115,0.5790312865418632,0.2768729328048031,-0.27668441121293963,0.9963114550713164,-0.08258647616913423
43,vertical_velocity_950_max,-0.1550157767561036,-0.44033117625622425,-1.8520507975151888,-1.7759127806828592,-0.2393293734462393,-1.7246349297231574,-0.5728652604512949,2.078669370390493,-0.2048178881142235,-0.4430659931230917,0.16454022832993545,-0.08465601925432341,-0.6184775676543735,0.019943869799926503
44,vertical_velocity_950_max,-1.010755997703817,2.163339708705947,0.08141342960579553,-0.877989743991771,0.7935103143666571,-0.271092682505009,0.4700999006765934,0.2805122073161902,0.08018715034098095,-0.3476491364058512,-0.28608914971222393,-0.49667324748516045,-0.04774634297226758,-0.3147359031904714
45,vertical_velocity_950_max,-1.9043415203241643,-0.03252445445819051,-0.749976553252215,-1.1733330337951322,-0.5254756366029515,-0.4114255168399487,-0.06124346703210089,-0.5487137393904722,-0.3744352658871755,-0.06345649531001224,-0.14745397882569794,-0.3535991509464586,0.053064489917865124,-0.3522894088994284
46,vertical_velocity_950_max,-3.1781014195259734,-0.4402708684959155,-1.0066665134981811,0.26573450637705404,-0.7341897142389757,-0.48527916509114344,0.010761854397010528,-0.13517886056783948,-0.19102938060952063,-0.3420885636461162,0.2434050183848204,-0.2976731689226308,-0.16848057279992049,0.1396030737195788
47,vertical_velocity_950_max,-0.5781102559357455,2.6039881659036386,-0.3808645976291395,0.4554798615893568,0.7974979550880886,0.08032559470629758,-0.5253929615620077,-0.7666622265547706,0.3556238123693088,0.6213586226123188,0.7644020009913037,-0.23039478654963244,-0.5481673949960467,0.17895179550546578
48,vertical_velocity_950_max,-0.5918833246872995,3.1739758319947797,0.18260743739358143,0.11215226038115625,-0.37117868841082946,-1.373738400281462,-0.3805996919102074,-0.8897858327356813,-0.3406657277748364,0.025108316780313146,-0.042736830943908115,-0.5284781459540654,-0.0020129591340258576,0.0910352567121698
49,vertical_velocity_950_max,-0.7798540998047621,-0.1795791516790721,-0.4632480792478679,0.6552628491258577,0.6742094443219293,-0.42529215628725553,-0.3873678375868655,-0.35042373122996506,-0.060206236270213244,-0.20882333785669596,0.23353726479762693,0.28423124072872696,-0.5688094150733505,0.0034601425479477864
50,vertical_velocity_950_max,0.8083951635603855,-0.5949931866159569,0.3142174967989437,-1.251404782241425,-0.5425456969024526,0.1368126351900522,0.22945960999607767,0.23727162311171135,0.3624905984976754,-0.05134024376276466,-0.5596895355583202,0.3194844439086331,0.456675531431498,-0.45079701905698377
51,vertical_velocity_950_max,0.5569255320469924,2.4778763610943533,0.03362667052574329,-1.2164822199273961,0.5978866718900623,0.8229530347336396,-0.2616681628599964,-0.6839881312301395,0.0867329977248735,-1.101365539169114,0.8209534707620184,-0.09193967287172758,0.40831667857169046,-0.1485922990002726
53,vertical_velocity_950_max,-2.5668429983889123,-4.302409074511717,-0.07190624304473509,0.02418869569293587,-0.5871778545214885,-1.3015844944659658,-0.5284566072275078,0.1707120442331575,-0.14290957275373822,-0.07120215845675196,-0.3745839897953178,-0.34704806685984957,0.325939760831988,-0.13759497585983788
54,vertical_velocity_950_max,0.7772295319361925,0.9279197575726471,1.2665935501241365,2.8183374243775283,-0.6627165647364518,1.6741868170072158,0.09546378673505311,0.5300908273409545,-0.23248308576490767,-0.2275062141591436,-0.14882187647656123,0.16314692259341482,-0.7567129296784889,0.24928762440827942
56,vertical_velocity_950_max,0.9985433393466676,-0.49465351690060366,0.4365737603824716,-2.4332584889049453,-0.46157150431330385,-0.15358491832375312,-0.16506852174096245,-0.4512877001403365,-0.8395359137894195,-0.08074715478764213,0.04368230104731213,0.24320698970703103,-0.08326867495958552,0.5103062856100954
58,vertical_velocity_950_max,2.956110622092362,0.4221158736260532,-0.3205329249935991,0.7712637136789832,0.057465808570982164,-0.16445472746635756,-0.2156853744827471,0.16527902795332994,-0.5742619042967149,0.6115737559698142,-0.011836938085954369,0.41908142649104724,0.3087458972962669,0.03210019256958688
60,vertical_velocity_950_max,-3.289426180284873,0.23367148609827015,-1.4049691185554067,-0.5549825543701078,0.9432988500561231,1.9616213804753058,0.42927446888417436,-0.184375115403161,-0.8793540928672307,-0.4007626174826112,0.02035154909790432,-0.14151000750006223,-0.18436781084519113,0.34451040841984637
