time_step,variable,PCA_1,PCA_2
1,relative_humidity_200_min,-3.934787900926423,2.0459481647846594
2,relative_humidity_200_min,-3.8472957139424695,1.9901944740320676
3,relative_humidity_200_min,-3.4708207155413104,1.797644859823688
4,relative_humidity_200_min,-3.322000454521484,1.3805157368316743
5,relative_humidity_200_min,-3.3119217266000427,1.040226345399765
6,relative_humidity_200_min,-3.0968473610238836,1.0497483528368787
7,relative_humidity_200_min,-3.187136867835556,0.7992430267166549
8,relative_humidity_200_min,-3.1482706739858473,0.2773062489104113
9,relative_humidity_200_min,-2.9098650726203363,0.03880502610294012
10,relative_humidity_200_min,-2.617373822908194,-0.21390192089130258
11,relative_humidity_200_min,-2.4292957588132924,-0.4299352613951798
12,relative_humidity_200_min,-2.0497022636798223,-0.3595175003191245
13,relative_humidity_200_min,-1.7901504028211934,-0.5778312348365625
14,relative_humidity_200_min,-1.5378188542171585,-0.761295323788146
15,relative_humidity_200_min,-1.4150860470050572,-1.0092309253451053
16,relative_humidity_200_min,-0.9504283796780068,-1.6458146639459574
17,relative_humidity_200_min,-0.819480351310292,-1.9342630606056679
18,relative_humidity_200_min,-0.23639072281503873,-2.1772261274228355
19,relative_humidity_200_min,0.3904780839992473,-2.170160481061474
20,relative_humidity_200_min,0.6249469331159592,-1.905817944333856
21,relative_humidity_200_min,0.5407203347504336,-1.938561033389869
22,relative_humidity_200_min,0.8471907413814799,-1.8136312024030126
23,relative_humidity_200_min,1.5541807818604776,-1.0788403185489759
24,relative_humidity_200_min,1.8391580379935428,-0.8837282881927137
25,relative_humidity_200_min,2.233876318324004,-0.7090063848282157
26,relative_humidity_200_min,2.529186255711251,-0.6753858386852711
27,relative_humidity_200_min,2.6892141762095707,-0.5438806258512779
28,relative_humidity_200_min,2.9788311262652165,-0.20362297853811476
29,relative_humidity_200_min,2.91712846539948,0.1792553767572338
30,relative_humidity_200_min,2.8747193546983794,0.3141509105412552
31,relative_humidity_200_min,2.9600435159714444,0.5666247611342177
32,relative_humidity_200_min,3.473002969779146,0.997567711347337
33,relative_humidity_200_min,3.499062222602328,1.398301864499724
34,relative_humidity_200_min,3.973993400479991,2.0259851117734815
35,relative_humidity_200_min,4.094540150559281,2.451016829814641
36,relative_humidity_200_min,4.054400221144202,2.6791163130760562
