storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7
1,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
2,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
3,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
5,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
6,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
7,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
8,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
11,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
12,convective_available_potential_energy_min,37.9100608526351,-0.9501099023026129,-0.8929910727904373,3.8963959659909647e-16,-4.472836844050647e-16,8.918270230953187e-16,-0.008511390403132188
13,convective_available_potential_energy_min,1.7792399037468583,-1.7315652479127213,12.707830281048448,-5.160133430588232e-16,6.170271779771002e-16,3.664208727456996e-15,0.2860827415944868
16,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
19,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
21,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
26,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
27,convective_available_potential_energy_min,1.9082499744284236,15.737098181028736,1.1590833217114531,-2.0941140814048263e-16,1.4689790884133736e-15,1.152316248373216e-15,0.1477570793598888
29,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
31,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
32,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
33,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
34,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
38,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
39,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
43,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
44,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
45,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
46,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
47,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
48,convective_available_potential_energy_min,-0.7340963334080473,-0.32080764581025706,-0.42508654286989445,-1.286910030328578,-4.682753121357319,-6.496169345467968,4.357076576443452
49,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
50,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
51,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
53,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
54,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
56,convective_available_potential_energy_min,-0.7340963334080474,-0.32080764581025717,-0.42508654286989356,6.49616934546843,4.6827531213567966,-1.2869100303285255,4.357076576443339
58,convective_available_potential_energy_min,-0.6903779535210379,-0.21021772227807803,-0.20131386354446196,4.970651669116321e-16,-3.907131647370412e-15,-6.517832807732987e-16,-0.31881490600579976
