storm_number,variable,PCA_1,PCA_2,PCA_3
1,vertical_velocity_600_min,11.192110793429503,-1.3914117398032093,-1.2705484851710203
2,vertical_velocity_600_min,6.432884077833316,-2.7867746299904947,4.344178357298063
3,vertical_velocity_600_min,0.9378726957258613,0.657549496612904,-2.243399782054213
5,vertical_velocity_600_min,-4.705273271993787,0.8248150213183103,0.25074046512819376
6,vertical_velocity_600_min,-3.585959683696005,1.196299276755528,-0.2654216211337649
7,vertical_velocity_600_min,4.05692964746656,2.3361769752380988,-3.8608998785391107
8,vertical_velocity_600_min,2.8841501409921544,1.8067976841173714,-0.7475287428856418
11,vertical_velocity_600_min,-3.80923178943486,0.42402373503347923,-1.1120583888663533
12,vertical_velocity_600_min,-3.4177490295187516,0.4409943421972709,-0.36460414892670145
13,vertical_velocity_600_min,-4.8878651943505265,0.2979837859519405,-0.7713304114555634
16,vertical_velocity_600_min,0.7153585781281342,-1.2669651404905378,0.0970938571228214
19,vertical_velocity_600_min,-2.9811122469171614,0.412418931053374,-0.10883690227204035
21,vertical_velocity_600_min,3.6884950458469534,-1.6789374341466137,-0.09354507097388004
26,vertical_velocity_600_min,-1.4060863455249033,0.8817972819933491,-0.3525346386551233
27,vertical_velocity_600_min,-5.259503012008223,0.18315272453338974,0.38509785314018813
29,vertical_velocity_600_min,3.5263767123888825,-3.341013670748986,2.96525246539025
31,vertical_velocity_600_min,-3.4291048638460837,-0.10203456176951692,0.17530864742210403
32,vertical_velocity_600_min,-3.4890767083579513,0.34497593778433105,0.6850277682220326
33,vertical_velocity_600_min,-3.7032424482357604,-0.6433371182237791,0.30638668004132713
34,vertical_velocity_600_min,-3.293335064856563,-1.6896565035330038,2.5603435242835952
38,vertical_velocity_600_min,6.55978118023107,0.7779406388531667,0.9590949820049036
39,vertical_velocity_600_min,-2.1040468879543193,0.41826170666762696,-0.03521546655068059
43,vertical_velocity_600_min,6.218697837400443,-0.716176036650986,3.4612745523061026
44,vertical_velocity_600_min,-4.895701340932405,0.5654489487056557,-0.07033063616432347
45,vertical_velocity_600_min,-6.321189539756745,0.12295237499557952,0.6524093137351993
46,vertical_velocity_600_min,-5.307289590942017,-0.09089381374814919,0.5542591078733219
47,vertical_velocity_600_min,1.3895277972682905,0.9028140395972006,-2.23808637994243
48,vertical_velocity_600_min,-1.158705097088604,0.9086014905508023,-3.792098895845228
49,vertical_velocity_600_min,-5.354170471435984,0.029655516288747907,0.44146515891510324
50,vertical_velocity_600_min,-3.8676881814261526,-0.18070662802322315,0.48675580273839525
51,vertical_velocity_600_min,-1.747234432498387,1.2131484642829704,-1.8209722752103232
53,vertical_velocity_600_min,0.08264020315398078,-1.126723361316677,3.402167597432908
54,vertical_velocity_600_min,1.82719086511666,0.17926143888274154,-2.040463271075088
56,vertical_velocity_600_min,-3.1793054607584907,0.017690024697452213,0.03650750937122741
58,vertical_velocity_600_min,0.47989185495764736,-0.2478675339730211,-0.5306054535448831
60,vertical_velocity_600_min,-4.847384729880965,-0.8978520440896057,1.653736662830347
61,vertical_velocity_600_min,-2.839953917870906,0.37216386395970397,-0.43839699507954144
62,vertical_velocity_600_min,-1.6737039909771072,-1.1737749312164012,0.6676983144659254
63,vertical_velocity_600_min,0.046925810543974364,-4.690721375857995,4.386273612328947
64,vertical_velocity_600_min,-2.235409387757343,-0.38598359842919966,1.4992234725426965
65,vertical_velocity_600_min,-3.3887977352009107,-0.08302556622364579,0.8638434408697556
66,vertical_velocity_600_min,8.65011309595077,-2.9186638615081044,0.8827468574134444
67,vertical_velocity_600_min,-3.2499212336374064,0.3468043605492269,-0.6608678152924952
68,vertical_velocity_600_min,3.7847494487696918,-2.2592703713284754,2.180086469114477
69,vertical_velocity_600_min,-0.25261384481507815,-0.22088608013395383,-1.2196066819496576
71,vertical_velocity_600_min,-4.897993642409446,0.1743776375430755,0.6761894995814798
72,vertical_velocity_600_min,-1.1807038171327418,1.3087572181150218,-2.3177894826117287
73,vertical_velocity_600_min,7.805531725720753,15.994128725278765,4.946495900568936
76,vertical_velocity_600_min,3.197308248237777,-0.6280312020998449,-1.9485618909709892
77,vertical_velocity_600_min,-1.4331940738230282,0.2119528319166728,-2.4396399812911262
78,vertical_velocity_600_min,1.722187979098762,0.6050828647919262,0.17910653388338527
79,vertical_velocity_600_min,8.5428270304445,-0.07168563791421574,-2.1411273909907798
80,vertical_velocity_600_min,4.490288395247376,-0.9319368931872609,-1.8045695746593886
81,vertical_velocity_600_min,0.07772089865255823,-0.669767165727733,-0.43429607682495225
82,vertical_velocity_600_min,-0.6879567806432006,0.36575802706897276,-1.085208050867922
83,vertical_velocity_600_min,-2.7472445890107906,-0.7717851025087444,-0.40770408587520196
85,vertical_velocity_600_min,13.38097358152228,-2.111102043770007,-1.7698976455056863
86,vertical_velocity_600_min,6.83827727680074,-0.1428262988092565,0.6009490281895312
87,vertical_velocity_600_min,-3.095116940789966,0.5802415195610585,-0.1368199087148039
89,vertical_velocity_600_min,4.5739791004241335,-0.21676391673751508,-2.4903089359510333
90,vertical_velocity_600_min,-3.5486084424525224,0.4210868640246194,-0.40391895166694314
93,vertical_velocity_600_min,5.097134082800753,-1.4151601652802444,0.1693524984061415
95,vertical_velocity_600_min,-4.218450316218433,-0.4713793216799318,0.9481279848978073
