storm_number,variable,PCA_1
1,2m_dewpoint_temperature_mean,-7.618146138451223
2,2m_dewpoint_temperature_mean,-0.2983191875981138
3,2m_dewpoint_temperature_mean,-2.3647216961082758
5,2m_dewpoint_temperature_mean,-5.819135193964029
6,2m_dewpoint_temperature_mean,-2.3999213502304886
7,2m_dewpoint_temperature_mean,4.603629040553778
8,2m_dewpoint_temperature_mean,-0.9437166987139973
11,2m_dewpoint_temperature_mean,3.440120984683857
12,2m_dewpoint_temperature_mean,5.941687130792695
13,2m_dewpoint_temperature_mean,2.399196791440869
16,2m_dewpoint_temperature_mean,3.7399881531376176
19,2m_dewpoint_temperature_mean,0.9588147826667526
21,2m_dewpoint_temperature_mean,-9.72430376347899
26,2m_dewpoint_temperature_mean,7.068000364620696
27,2m_dewpoint_temperature_mean,9.556033914654327
29,2m_dewpoint_temperature_mean,2.167331961499123
31,2m_dewpoint_temperature_mean,6.199594397184888
32,2m_dewpoint_temperature_mean,-4.252522518808072
33,2m_dewpoint_temperature_mean,2.2901578672546736
34,2m_dewpoint_temperature_mean,2.1675941749191714
38,2m_dewpoint_temperature_mean,7.229207852928728
39,2m_dewpoint_temperature_mean,3.1031066227872453
43,2m_dewpoint_temperature_mean,-6.396381334840308
44,2m_dewpoint_temperature_mean,1.793244689961675
45,2m_dewpoint_temperature_mean,-1.2619575796788873
46,2m_dewpoint_temperature_mean,5.361220907867099
47,2m_dewpoint_temperature_mean,2.3247064943794644
48,2m_dewpoint_temperature_mean,2.5595394759190913
49,2m_dewpoint_temperature_mean,1.8192478151154525
50,2m_dewpoint_temperature_mean,3.988149285794567
51,2m_dewpoint_temperature_mean,2.416687304816511
53,2m_dewpoint_temperature_mean,-9.907114359000293
54,2m_dewpoint_temperature_mean,-2.4997624958377234
56,2m_dewpoint_temperature_mean,0.29141670849017437
58,2m_dewpoint_temperature_mean,-9.119196366209636
60,2m_dewpoint_temperature_mean,-5.353503894355854
61,2m_dewpoint_temperature_mean,-4.8326598142378545
62,2m_dewpoint_temperature_mean,-1.366384944396497
63,2m_dewpoint_temperature_mean,1.610363655201197
64,2m_dewpoint_temperature_mean,5.636182473969125
65,2m_dewpoint_temperature_mean,12.081245144980313
66,2m_dewpoint_temperature_mean,-9.201562357766454
67,2m_dewpoint_temperature_mean,2.75249166708331
68,2m_dewpoint_temperature_mean,-5.008779769030652
69,2m_dewpoint_temperature_mean,-1.776374323377309
71,2m_dewpoint_temperature_mean,10.66765839922376
72,2m_dewpoint_temperature_mean,-2.9638520435995312
73,2m_dewpoint_temperature_mean,-9.468677226988605
76,2m_dewpoint_temperature_mean,-6.153936187167513
77,2m_dewpoint_temperature_mean,8.016787871035005
78,2m_dewpoint_temperature_mean,-0.9851058832139136
79,2m_dewpoint_temperature_mean,-2.7653528569028656
80,2m_dewpoint_temperature_mean,-0.9521909608584905
81,2m_dewpoint_temperature_mean,0.4809610822187544
82,2m_dewpoint_temperature_mean,-4.341290192264692
83,2m_dewpoint_temperature_mean,-5.241888436526599
85,2m_dewpoint_temperature_mean,-4.129248343937265
86,2m_dewpoint_temperature_mean,-3.6774197466400285
87,2m_dewpoint_temperature_mean,-5.045187775026048
89,2m_dewpoint_temperature_mean,-4.656243545330934
90,2m_dewpoint_temperature_mean,15.332041707895732
93,2m_dewpoint_temperature_mean,-4.928164163561493
95,2m_dewpoint_temperature_mean,7.4566124250269805
