storm_number,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15
1,vertical_velocity_800_max,-5.40700707990497,2.7025176199339405,0.39957406666936834,1.4178503533626088,0.9955031694595519,1.0477909400333776,-0.46551456343687764,0.4859939057722447,-0.953914040490502,2.1714286743228435,0.712173102093371,1.1641523461027012,-0.23164522583658628,0.4523091849672836,-0.007044756451341343
2,vertical_velocity_800_max,2.5966028403962382,1.7478882899293475,0.5124375209732634,0.10517629116628595,-0.7595999005722124,-0.050570676836568615,1.004617052231507,0.8513986438665019,0.3955997516510604,-0.33094374411133104,0.2734495785195118,0.5796446664588516,0.5329762717958391,0.3297326034929083,-0.36489340658628705
3,vertical_velocity_800_max,2.556616346847253,-2.009974336497786,-0.020820555944865184,0.16624200502043177,0.8420517754944202,1.135974580465913,0.04630675254241245,-0.19238061620451388,-1.0294486792028017,-0.18940930470261103,-0.575649633475507,0.4600643538463682,-0.9239002527977714,-0.4374683764057352,0.05873424020774362
5,vertical_velocity_800_max,-2.8223932613069027,-1.3287324073758993,-1.9957452695834819,0.40624961694031053,-0.46804163589409564,-0.4793093075168711,0.9029227920119228,-1.1884099605760785,0.4138053091691937,-0.22816846595845475,0.931127336978843,-0.1392938849625682,-0.42840279159581146,0.14681331153499186,-0.43346480575764507
6,vertical_velocity_800_max,-1.8115067726958507,-0.5126193077914382,-0.2808915286513447,1.4484316367631047,-1.2459787839901009,0.29337033111531585,0.10729411757628025,0.2923051819753191,0.015556500980071464,-0.5127969833888091,0.638321507987311,0.31619049454294085,-0.20115395453763407,-0.07281413837252097,-0.15290741544119293
7,vertical_velocity_800_max,1.1007393993981693,-0.9329241319783174,-0.6878917897625128,-0.24519658023747257,1.2509169003648797,-0.5006932292041718,-0.03371089436271837,0.3914737178440529,-0.2842371659359643,0.002690982790728488,0.28822492833052643,-0.3619702966482879,0.1251518488974003,-0.22891184561574102,0.1380470172692221
8,vertical_velocity_800_max,-6.538113125641313,-0.6383809964208152,1.1209451954196512,-0.523739842038826,0.3213120490857897,-1.5357658211545202,-0.9824030653395475,0.897700538473125,0.5027068985877442,0.08141437921233916,0.4626488254841433,-0.8082497393773415,0.06235060679826515,0.28546573026312655,0.21889701308522813
11,vertical_velocity_800_max,-0.9443092628268863,-0.8135935408481472,0.434985882580835,-0.8385054062290198,-0.7173799892243689,0.3270632188778695,0.2460096501670669,-0.111453808066931,-0.3462520754720348,-0.11626961273556984,0.16560411750114515,0.3445116493328531,-0.6591237351555362,0.7305564383348179,0.21116404114527093
12,vertical_velocity_800_max,-1.6520531144647945,-0.2131399186846879,-0.30748888596210333,-0.4810172364969734,-1.0072568449597212,-1.1597632831248628,-0.19475568105587376,-0.0546482995898403,0.45319787577506576,0.6122184592578236,-0.17361385004962795,-0.15347952874519394,-0.09069880244196134,-0.5323932160303712,0.3092216913330588
13,vertical_velocity_800_max,-1.77676250633222,-0.04366210131937527,-0.5427943496956895,0.6439683188451847,0.5198345166727009,0.010218833089063628,-0.843758304238995,-0.05381089568651155,-0.5599366897824081,0.059182560213973695,-0.04381400719947878,0.08353905813374891,-0.05270640394494907,-0.19192219188444146,0.030256051860060022
16,vertical_velocity_800_max,1.3364147428085877,-4.084200333830164,1.5095341047438577,0.8218237637910728,0.4113267161694145,0.26712137913054357,-0.8247443667217544,-0.4858082629455666,0.8005152119410289,0.14408185037790658,-0.7904259480445451,0.48421395249393157,-0.29225361339543376,0.03042934623351167,-0.20242106535916263
19,vertical_velocity_800_max,2.6143182965282,-0.07228999278790724,-0.9397983606620853,-0.17800754195241394,-0.8972777734941157,-0.06102246240644952,-0.9472760496195638,1.2070156320399261,-0.2025521112438818,-0.625244410993818,0.3562375028029217,0.04090651647471935,-0.11844207824483731,-0.14243106693187882,0.41580841003096597
21,vertical_velocity_800_max,1.6366010781884488,4.05043732302355,3.149481626511432,-0.43782223271182985,0.37167290511730466,-0.31969490110468785,0.5086260857058449,-0.8386696208749579,-0.026299800250618878,-0.8184255956327542,1.5524647516248422,0.7637714179244165,0.06571427305711271,-0.4550415395256573,0.9126233339983385
26,vertical_velocity_800_max,0.30966240298952347,0.5336072961876621,-0.8753443894102503,0.7157933120074932,-0.282065684040405,0.30795125821935204,0.9715405752233633,0.7031272159915339,0.24665812740827944,-0.36210836635051713,-0.008635812282152005,0.37110470495324893,0.06553020827111856,-0.07356061372848421,0.08576064819808832
27,vertical_velocity_800_max,-1.1891193911061326,0.21796660745359397,-0.7417858808026265,-0.31498936764276464,0.6803782343164896,0.8014334905692685,-0.037439187443091,1.3281456673190657,0.4159409893601097,-0.4836061052756076,-0.42962141720032826,0.005518914108855522,0.21683687412324446,0.12990913250451314,0.6658681474999576
29,vertical_velocity_800_max,-1.6364673782839618,0.2041893793926305,1.5370690943891574,2.3268017920922652,-1.0883935014956139,-0.34535753705739897,0.3276597261102395,1.9711963238502668,-0.7090114308029165,-0.44600852683996317,-0.8489051560617171,-0.7327724013651755,-0.5454964230776684,0.28411215180849514,-0.16508510210340901
31,vertical_velocity_800_max,-1.6411075789750789,-0.48230500336212073,0.2720844216236803,-0.4156674660738136,-0.34911093799171783,1.467005965607529,-1.11256135858029,-0.6531310050074337,0.6403289490371756,0.3520525152943237,-0.08190394636051818,-0.023818803918224427,0.7634573809033818,0.09944943650536804,-0.2297649040644562
32,vertical_velocity_800_max,1.469761850359978,0.7176449248423494,0.41989644814895205,-1.605742849263558,-0.007079311777741063,-1.7801761646906042,-0.09837244233391604,-0.19182523538142882,-0.6436340265946126,-0.34036989172301113,-0.9127895501973031,0.9339465388114201,0.09094704759924847,-0.2769106662396542,0.2360653360565075
33,vertical_velocity_800_max,-0.8067062837049324,-2.61938479603001,0.7045295738432242,-0.5643356205178182,0.9136800242245301,-1.3038254062921946,-1.23911582619389,-0.8316308508374411,-0.2943946562204008,-0.191669377284607,-0.43925454995361995,0.069082741203683,0.588875044450698,-0.11224221334296638,-0.2992141472034622
34,vertical_velocity_800_max,-2.491536523006994,0.5267620342748837,-0.9265503135965693,0.27240389308535384,0.32147703922506343,-0.2230222173393429,-0.7165934842393149,-0.5643363245743295,-0.468372852416915,-0.5832530899703725,-0.07216221304122503,0.1359737347484979,-0.1925033917865264,-0.08210416825178644,-0.16169984756626787
