storm_number,variable,PCA_1
1,relative_humidity_20_min,-1.691957462561936
2,relative_humidity_20_min,-1.6272744735844809
3,relative_humidity_20_min,-2.058833968809386
5,relative_humidity_20_min,-2.350193114693466
6,relative_humidity_20_min,-2.3911473897075117
7,relative_humidity_20_min,-2.4359276338997313
8,relative_humidity_20_min,-2.878633262806455
11,relative_humidity_20_min,-2.571904238908989
12,relative_humidity_20_min,-1.8602674160519899
13,relative_humidity_20_min,-2.3339338454007534
16,relative_humidity_20_min,-2.325086155897642
19,relative_humidity_20_min,3.207435803248188
21,relative_humidity_20_min,3.37855881364723
26,relative_humidity_20_min,-2.3837761079907507
27,relative_humidity_20_min,-2.3307026528064867
29,relative_humidity_20_min,-2.4396619217721143
31,relative_humidity_20_min,-2.5211843707006834
32,relative_humidity_20_min,-1.3901851978838047
33,relative_humidity_20_min,-1.529963128338955
34,relative_humidity_20_min,-2.0979296652155397
38,relative_humidity_20_min,-1.9539293493608068
39,relative_humidity_20_min,-1.2053642720159332
43,relative_humidity_20_min,2.807902146558968
44,relative_humidity_20_min,-1.5317392918834938
45,relative_humidity_20_min,-2.440590857759314
46,relative_humidity_20_min,-2.597276873012129
47,relative_humidity_20_min,-2.666969175969456
48,relative_humidity_20_min,-1.3430146261304545
49,relative_humidity_20_min,-1.2373154668356694
50,relative_humidity_20_min,-2.141471516650612
51,relative_humidity_20_min,10.639423310459533
53,relative_humidity_20_min,-1.3890551314560935
54,relative_humidity_20_min,-2.342948695230907
56,relative_humidity_20_min,-0.8603722815482132
58,relative_humidity_20_min,30.747170518954086
60,relative_humidity_20_min,-2.106971792505304
61,relative_humidity_20_min,-2.4071735955809537
62,relative_humidity_20_min,1.8724728604202159
63,relative_humidity_20_min,-2.765346693554722
64,relative_humidity_20_min,-2.777086049669094
65,relative_humidity_20_min,-2.7812690884758475
66,relative_humidity_20_min,0.116491926370485
67,relative_humidity_20_min,-1.3931167602534236
68,relative_humidity_20_min,0.275719415371655
69,relative_humidity_20_min,4.20463833882564
71,relative_humidity_20_min,-1.5325708007874002
72,relative_humidity_20_min,9.403331541426713
73,relative_humidity_20_min,2.760217394672609
76,relative_humidity_20_min,-2.7605812639237293
77,relative_humidity_20_min,-1.8720428883883444
78,relative_humidity_20_min,-2.4387325139971066
79,relative_humidity_20_min,-2.828315506358285
80,relative_humidity_20_min,-2.879521732008084
81,relative_humidity_20_min,-2.8697004471809215
82,relative_humidity_20_min,-2.7688726081064865
83,relative_humidity_20_min,-2.666169604980234
85,relative_humidity_20_min,-0.842685325593995
86,relative_humidity_20_min,2.4351970529689106
87,relative_humidity_20_min,16.748122451141995
89,relative_humidity_20_min,15.730521871417135
90,relative_humidity_20_min,-2.652381956020078
93,relative_humidity_20_min,-0.5315408056715302
95,relative_humidity_20_min,-2.5245144675440683
