,storm_number,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
3,1,2.3815003155103462,0.5221317786836432,1.550332297555863,3.086368207489221,0.3958410774570733,0.0698420031370236,3.856062105900245,0.1186144684017831,0.0852947187688451,0.0058991639828435,1.832467422095365,1.0651749567739743,1.37389087323484,0.2053996473673315,0.605246740238866
4,13,0.3695921092371478,0.0735048436662386,2.392380494948195,0.0864537944692676,0.4547742637983557,0.4499594152526581,1.3068358552715775,0.0942707331319086,0.2177413935594838,0.2318694179306325,1.6293855153243697,2.8507188514136703,4.381026426187155,0.1320498476936791,0.0788859652891692
5,95,0.0789366746803574,0.6920046822517556,0.4112496310750188,2.4757461580951863,0.625764317218236,0.2516023296392689,3.7593534449790753,0.2206761743655208,0.5483666903818616,0.0075532319896424,0.2340029993218474,0.7292070203003637,0.6531022477537304,0.0567103066407657,0.6170126654915953
6,7,1.1719377657769663,1.9837234578237544,0.8922623207816387,5.006286016162044,0.23517735620079,0.1228169799683102,2.9585395300829096,1.0715938328013173,0.90719884888529,0.841107825950664,0.6805871307780252,1.9403987803672145,1.215323711191204,1.1458502676030666,3.529800289158208
9,79,1.1647512304114025,1.2382853845914892,0.2214277814579455,4.319688720335788,0.4185291584321665,1.97897676280224,5.87611960132187,1.0254423244214266,1.0234850496861725,0.2814575255605029,0.0891934979480564,0.8906795610895586,0.5237413840184307,0.8884351130475948,1.2683000247247158
12,50,0.6624333932436606,0.0990101978846037,1.1411563203855974,1.04843709940422,0.3178687792393285,0.0308996891447985,4.858717907351182,0.0589532154526339,0.6316408565245576,0.7110132098868441,0.300211468300932,1.0086203076118097,0.9087207582494564,0.0970909532876425,0.4059699188689388
13,90,0.4386479739085794,0.297728636313404,2.114483430728276,1.3822729748641518,0.6140145624809447,0.0480922115343927,3.8925373866885744,0.0626987379679059,0.3940852104388918,0.6139487668899355,1.2370847775731884,2.621318627487471,2.1406672505940145,0.1509582209424413,0.6213118122568275
14,27,0.7968644854301427,0.7694812104874983,0.0451838836159565,1.8024898789515056,0.9486518604914964,0.1994360761503732,3.503341485944252,0.2025370462362947,0.0708931137996307,0.0290760133529613,0.4821615686588891,0.100239435805185,0.1933396648551414,0.1290932859807098,0.303486756963079
15,58,3.830276822141795,0.6104716486032538,2.375340290444948,1.697073254451024,3.350411428043116,1.2159541756093168,4.033729652274084,0.7396521959708694,1.8085137744798776,1.2622912272587046,1.9756230392090448,4.543167082683231,4.710734053537178,1.3384054501506053,0.4725198698936601
16,76,0.4769246090875679,0.7603548056603769,0.2463946409806767,3.7838803342519274,0.1181078123991427,0.1863801211572293,5.695002280510403,0.842211247691419,0.2337941967030261,0.2844230667264039,0.2448430563695252,1.4661451189393393,0.8759501174548121,0.520601757678953,1.6155175885171742
19,63,0.8370073252245785,0.5316265316884693,0.6961504684485842,2.675586474552446,0.0629928816293055,0.1015924438906269,5.429606746929596,0.2985681798088843,0.0146077424748045,0.0212609300415334,0.2230643222025775,1.5653764035421274,0.9219191062838342,0.0129144805475741,0.6768355095518623
22,85,4.102134376631319,0.6324182752190116,2.8370834642792557,2.2713003410166674,1.7154695891888505,0.0858347826500032,8.225384340102012,0.4313424313368041,0.0283647629555545,0.0836106522928782,2.979929352068869,8.879605474413573,10.273783396849822,0.0540028984064072,0.1302189188411993
24,65,0.6625635962448416,3.0187081661352435,0.4829908536560047,4.482420696978816,0.7927671747055051,1.120424835736911,2.144683291763283,2.1848678282675413,0.953826838926961,7.128896560568916,0.4614960842921261,0.025623386585865,0.0654159232500202,2.675606216019166,7.795844520732237
25,19,3.6025946096823622,3.4981784539211027,0.8331214600543557,3.97745071332256,0.8970296477436429,0.6492829454549579,4.765553410461718,2.309237627220932,0.2907982849767037,0.2206714590832499,0.7717678585153344,0.5588563192148811,0.3438734234101747,1.3162362678597668,0.8113051092794267
27,80,3.711415421922528,4.7716466897445375,1.1526157710025056,3.115200673846835,3.298900844423525,2.164341409465913,4.763273544957632,4.300825817303736,2.047052124098668,0.2526341958633294,1.6590128823142742,2.761344459214492,2.298489162713302,1.0859735621341158,0.7740351391690378
