seed,r2_cdf_20_train,r2_cdf_30_train,r2_cdf_40_train,r2_cdf_20,r2_cdf_30,r2_cdf_40,r2_ml_cdf_20_train,r2_ml_cdf_30_train,r2_ml_cdf_40_train,r2_ml_cdf_20,r2_ml_cdf_30,r2_ml_cdf_40,r2_max_20_train,r2_max_30_train,r2_max_40_train,r2_max_20,r2_max_30,r2_max_40,r2_ml_max_20_train,r2_ml_max_30_train,r2_ml_max_40_train,r2_ml_max_20,r2_ml_max_30,r2_ml_max_40
42,0.8920169344452085,0.8982492155992938,0.8974424636701006,0.4639843855379099,0.5249698977273773,0.5444453586301927,1.0,1.0,1.0,-10.370033590835984,-22.066070897106428,-2.1066258980293333,0.9250504842029736,0.9228947056174994,0.9225339937677345,0.5878935718906921,0.5992857310931963,0.5638358580008644,1.0,1.0,1.0,-7.29063168498006,-11.429805526093332,-1.3545128422262258
1996,0.9042359339656614,0.906398050245748,0.9036711216587331,0.3200281475047061,0.2195782269059483,0.3355638865383921,1.0,1.0,1.0,-4.5253748135963425,-12.935405590548031,-0.8929202337572653,0.9291399714910017,0.9261927902786756,0.9252290017947495,0.5334897045109814,0.45955627501142593,0.4701660233001922,1.0,1.0,1.0,-3.6880000028279945,-8.573144454709976,-0.451019544594359
45319,0.9060386883040632,0.9057606409766837,0.9072008352486045,-0.05674917384418876,-0.040657970713882996,-0.05161218967089676,1.0,1.0,1.0,-7.1030592332580476,-27.62296972916857,-2.5736537424668726,0.9329928401477567,0.9343798159348943,0.9338713461945624,0.06742841873418626,0.09282665370656018,0.07713724991642734,1.0,1.0,1.0,-4.955472133610007,-14.906010092498624,-2.4393104268770216
43709,0.9030855985736745,0.9034588180816172,0.9023294513993481,0.11692063638489048,0.26296547176309637,0.23037342633386937,1.0,1.0,1.0,-2.438707460200799,-7.9737475295569205,-0.8753785904318969,0.9265467541750905,0.9268136175054585,0.9242194168843305,0.37462103802335667,0.40327693735831327,0.42312982827744094,1.0,1.0,1.0,-1.892121800953388,-5.266041957258212,-0.7533149403342989
19961106,0.9113559179368315,0.9115658981365135,0.9125556896402129,0.09146809916251553,0.04501247420686494,0.053257683222330376,1.0,1.0,1.0,-2.781452152589436,-6.756600735986983,-2.3702094330000616,0.9374629016110396,0.9353593177802274,0.936886892881315,0.17964278406605105,0.13390497547653557,0.11556508439921187,1.0,1.0,1.0,-2.1728829598052344,-6.189299382960831,-2.6198091833599038
28012025,0.8949425541146081,0.8963417344396614,0.8977098720246691,0.35847775988917363,0.3612963062540979,0.3975453860949152,1.0,1.0,1.0,-8.312095299756088,-23.7390632998512,-2.451882154901707,0.923771959144158,0.9200050503029356,0.9190949718859948,0.6135795343227541,0.6443701155920727,0.6516539218580529,1.0,1.0,1.0,-4.086493690268207,-10.609341825617593,-1.2590434910036028
15012025,0.9039705733619942,0.902084331109628,0.9061631762413181,-0.1351315183197268,0.17632556775397812,0.23467071243649607,1.0,1.0,1.0,-5.536786440343334,-14.7938961869549,-3.160010751299284,0.9309793292758043,0.9284130885242114,0.9297126811365056,0.28085301652616035,0.3793233780612757,0.339650534519608,1.0,1.0,1.0,-2.633175045991356,-7.033113969106925,-1.9191595792070997
2019,0.9097056695897194,0.9067738714909667,0.9115450569106054,-0.3019806515432353,-0.30321843662179426,-0.23539732015932802,1.0,1.0,1.0,-4.130130388301982,-16.10939340994787,-4.001666185176104,0.9313518446764744,0.9317459895461366,0.9310072366260499,-0.0026878614613150553,0.008202774012496583,0.01817630535744652,1.0,1.0,1.0,-2.610774035269342,-8.250984256592009,-2.9828381994115616
111194,0.9013597702166917,0.9000030446213682,0.9009301992554346,-0.06798424293413219,0.037913854551054005,0.0904696316292195,1.0,1.0,1.0,-6.341439553249599,-15.410576972567899,-2.402877382031267,0.9263685671319813,0.9257187347378178,0.9229724171117344,0.3677595216876216,0.37436600199374703,0.3765918491182533,1.0,1.0,1.0,-5.1660383107586885,-9.00551152851734,-1.5288969763419051
19052024,0.9023217827149103,0.902890992157062,0.9040878291290081,0.23527935911583864,0.12357998613909038,0.13366820961968695,1.0,1.0,1.0,-3.7233805194700293,-20.244203171656174,-2.959414556481484,0.9286236147282523,0.9278411249994599,0.927616455965351,0.4036994741383676,0.2578563502813399,0.2977599697070965,1.0,1.0,1.0,-2.5464657654842022,-13.847584245530937,-2.7674172952733436
