,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
26,27,2.40065,2.3018417,2.2873077,2.2524338,2.2204666,2.333809,2.4297104,2.4151764,2.3890228,2.476204,2.4674835,2.699974,2.769722,2.9092102,2.8336563,2.8394623,2.897583,2.9789581,3.1823807,3.2870026,3.4526443,3.4119644,3.0981064,2.9498978,3.1852875,3.458458,3.7665024,3.839157,3.998993,3.8507843,3.8042831,3.7054749,3.7258224,3.7345352,3.859497,4.1355743
28,29,4.043907,4.0378647,4.1164474,4.346138,4.391472,4.4186707,4.5818787,4.3068466,4.1738663,4.0257797,3.5240784,3.5089645,3.548256,3.7205276,4.1194687,3.9381332,3.7839966,3.4999008,3.3941193,3.4182968,3.5119858,3.5905685,3.7779465,4.059021,3.8897705,3.5391922,3.4696808,3.3850555,3.1916275,3.1493149,2.961937,3.022377,3.0918884,2.8682404,3.2339401,3.0888672
30,31,2.640442,2.661377,2.8677368,2.4071655,2.0692215,1.9705276,2.31147,2.5567017,2.487915,2.5776367,2.5716553,2.628479,2.3533401,2.290535,2.3623123,2.4759521,2.5507202,2.6105347,2.7002563,2.8139038,2.7421265,2.9933472,3.157837,3.1099854,3.0441895,2.96344,2.9036255,2.876709,2.789978,2.7810059,2.6853027,2.7720337,2.9125977,2.9006348,3.0023193,3.0232544
31,32,1.496254,1.4506149,1.3172226,1.2961578,1.3417892,1.2645645,1.1838226,1.2189255,1.2996674,1.2470093,1.2294617,1.1943588,1.113617,1.0574493,1.0047913,1.0293655,1.2083969,1.2259521,1.215416,1.2434998,1.2294617,1.1346741,1.0223465,0.87841797,0.84682465,0.8257599,0.885437,0.97319794,1.0293655,0.98724365,0.87841797,0.79065704,0.7274704,0.6888504,0.6958771,0.6993866
32,33,2.7670212,2.4089584,2.1105728,2.222908,2.1456833,2.061432,1.8543167,1.7033691,1.5769882,1.4541245,1.4786987,1.4681702,1.5453949,1.503273,1.4435959,1.3804092,1.2821121,1.4155121,1.5278473,1.6542206,1.598053,1.4330673,1.5453949,1.6366653,1.4260406,1.3417892,1.4892273,1.6015625,1.7630463,1.7911301,1.6191177,1.7244263,1.7841034,1.650711,1.6998596,1.7841034
33,34,1.8060608,1.8236084,1.8119049,1.7738876,1.8908691,1.990303,2.1599197,2.0721817,2.1335983,2.0341644,1.8820953,1.8499222,1.9669037,2.1803894,2.3675537,2.3938751,2.4991531,2.5810394,2.5371704,2.703865,2.7682037,2.7126389,2.8647156,2.8266907,2.949524,2.8179245,2.8676376,2.9816895,3.396965,3.4496002,3.6133728,3.4320602,3.8502579,3.8151627,4.247978,4.3415604
37,38,3.9273682,4.646309,5.1855087,5.1046295,4.9398727,4.3407593,3.7805786,3.714676,3.6757355,3.81353,4.2568817,4.0022507,4.077141,3.906395,3.567894,3.2623444,3.2683334,3.0975876,3.1844559,3.5768814,3.4151154,3.2623444,3.3492126,3.3552094,3.3552094,3.1694794,2.9927444,3.160492,3.1904526,3.019699,2.4864883,2.5284271,2.5284271,3.1844559,3.1335373,2.4445496
38,39,3.3068695,3.3362045,3.3036118,3.2547073,3.036293,2.8635178,2.7983246,2.7494202,2.7526855,2.6907425,2.7657242,2.7526855,2.8504791,2.905899,2.8863373,2.5994644,2.4038696,2.4006119,2.5407867,2.5538254,2.4527664,2.4560318,2.5179672,2.674446,2.7429047,2.638588,2.5440445,2.4951477,2.475586,2.4984055,2.4234314,2.205017,1.9963837,2.0485382,2.3973541,2.713562
42,43,6.058426,5.776825,5.721092,5.5861588,5.680031,5.8501587,5.7504272,6.026161,6.122963,6.064293,6.029091,6.225624,5.9176254,5.656563,5.3954926,5.2986984,5.1754913,5.254692,4.9877625,4.54776,4.644562,4.761894,4.4304276,4.2280273,4.031494,3.899498,3.5562973,3.3949661,3.4096298,3.623764,3.7410965,3.8144302,3.8232346,3.7645645,3.606163,3.4800339
43,44,1.9947357,1.8871613,1.8480453,1.815445,1.8056641,1.760025,1.6426697,1.5937729,1.6328888,1.7632904,1.7632904,1.7111282,1.6654892,1.7372055,1.6361542,1.5187988,1.5481339,1.5970306,1.5448761,1.5285797,1.5122757,1.629631,1.6948318,1.714386,1.7078705,1.6100769,1.4405594,1.5676956,1.6589737,1.7567673,1.861084,1.7665482,1.7274323,1.7991486,1.8382645,1.8806458
