lon_east,lon_west,lat_north,lat_south,step
"-6.862091","-14.862091","62.296683","54.296683",56
"-5.548553","-13.548553","62.629765","54.629765",57
"-4.42926","-12.42926","62.942187","54.942187",58
"-3.309967","-11.309967","63.25461","55.25461",59
"-2.190674","-10.190674","63.567032","55.567032",60
"-1.323731","-9.323731","63.771801","55.771801",61
"-0.456787","-8.456787","63.97657","55.97657",62
"0.410156","-7.589844","64.181339","56.181339",63
"1.304636","-6.695364","64.436755","56.436755",64
"2.199117","-5.800883","64.69217","56.69217",65
"3.093597","-4.906403","64.947586","56.947586",66
"3.661887","-4.338113","65.217504","57.217504",67
"4.230178","-3.769822","65.487421","57.487421",68
"4.798468","-3.201532","65.757339","57.757339",69
"5.206752","-2.793248","65.918401","57.918401",70
"5.615035","-2.384965","66.079462","58.079462",71
"6.023319","-1.976681","66.240524","58.240524",72
"6.263929","-1.736071","66.361606","58.361606",73
"6.50454","-1.49546","66.482689","58.482689",74
"6.74515","-1.25485","66.603771","58.603771",75
"6.80574","-1.19426","66.622564","58.622564",76
"6.866329","-1.133671","66.641356","58.641356",77
"6.926919","-1.073081","66.660149","58.660149",78
"6.877954","-1.122046","66.498249","58.498249",79
"6.828989","-1.171011","66.33635","58.33635",80
"6.780024","-1.219976","66.17445","58.17445",81
"6.594472","-1.405528","66.033972","58.033972",82
"6.40892","-1.59108","65.893495","57.893495",83
"6.223368","-1.776632","65.753017","57.753017",84
"6.21783","-1.78217","65.651161","57.651161",85
"6.212291","-1.787709","65.549305","57.549305",86
"6.206753","-1.793247","65.447449","57.447449",87
"6.714018","-1.285982","65.79814","57.79814",88
"7.221282","-0.778718","66.148832","58.148832",89
"12.894561","4.894561","71.970739","63.970739",95
"14.527393","6.527393","73.485016","65.485016",96
"7.728547","-0.271453","66.499523","58.499523",90
"8.361997","0.361997","67.313743","59.313743",91
"8.995447","0.995447","68.127964","60.127964",92
"9.628897","1.628897","68.942184","60.942184",93
"11.261729","3.261729","70.456461","62.456461",94
"-9.489166","-17.489166","61.63052","53.63052",54
"-8.175628","-16.175628","61.963602","53.963602",55
