lon_east,lon_west,lat_north,lat_south
-52.019836,-60.019836,49.919746,41.919746
-46.978455,-54.978455,52.189659,44.189659
-42.243561,-50.243561,53.979412,45.979412
-37.886414,-45.886414,55.52433,47.52433
-32.990784,-40.990784,57.19389,49.19389
-26.658569,-34.658569,59.24136,51.24136
-20.42981,-28.42981,61.183872,53.183872
-14.852386,-22.852386,62.745384,54.745384
-9.664429,-17.664429,64.135555,56.135555
-4.151062,-12.151062,65.391014,57.391014
0.865448,-7.134552,66.613331,58.613331
6.195691,-1.804309,67.244011,59.244011
11.296208,3.296208,67.419498,59.419498
15.118746,7.118746,68.177895,60.177895
19.757762,11.757762,68.50486,60.50486
24.103086,16.103086,68.463013,60.463013
27.475147,19.475147,68.330856,60.330856
29.957762,21.957762,68.412552,60.412552
32.556374,24.556374,68.518532,60.518532
34.515196,26.515196,68.907814,60.907814
36.081211,28.081211,69.469727,61.469727
37.986195,29.986195,69.946373,61.946373
39.37019,31.37019,70.470802,62.470802
40.976284,32.976284,70.886215,62.886215
42.702702,34.702702,71.198402,63.198402
44.642857,36.642857,71.568375,63.568375
45.174164,37.174164,72.706444,64.706444
46.078346,38.078346,73.353767,65.353767
46.30238,38.30238,74.094536,66.094536
44.678909,36.678909,75.617516,67.617516
43.010139,35.010139,76.751328,68.751328
42.666328,34.666328,77.196854,69.196854
40.582993,32.582993,77.915787,69.915787
42.501453,34.501453,77.949486,69.949486
42.540215,34.540215,78.188446,70.188446
41.053112,33.053112,78.101639,70.101639
39.30357,31.30357,77.968147,69.968147
