lon_east,lon_west,lat_north,lat_south
-101.269104,-109.269104,38.819916,30.819916
-101.110596,-109.110596,38.595112,30.595112
-98.560547,-106.560547,39.198978,31.198978
-96.038239,-104.038239,39.40572,31.40572
-94.660095,-102.660095,39.04995,31.04995
-93.67099,-101.67099,38.730442,30.730442
-92.87915,-100.87915,38.880535,30.880535
-91.404175,-99.404175,39.556137,31.556137
-90.148926,-98.148926,40.253658,32.253658
-89.835602,-97.835602,40.102974,32.102974
-89.738495,-97.738495,39.66729,31.66729
-89.217224,-97.217224,39.279087,31.279087
-89.260468,-97.260468,38.564167,30.564167
-87.855804,-95.855804,38.745644,30.745644
-86.205353,-94.205353,38.887978,30.887978
-84.321869,-92.321869,39.07362,31.07362
-82.7901,-90.7901,38.833588,30.833588
-80.473175,-88.473175,39.34869,31.34869
-78.274933,-86.274933,39.966202,31.966202
-75.996979,-83.996979,40.521362,32.521362
-74.088928,-82.088928,40.570545,32.570545
-71.904907,-79.904907,40.891575,32.891575
-69.93457,-77.93457,41.651981,33.651981
-68.312164,-76.312164,42.239731,34.239731
-66.627411,-74.627411,42.672714,34.672714
-64.842499,-72.842499,43.552841,35.552841
-63.101624,-71.101624,44.42205,36.42205
-61.389038,-69.389038,45.244064,37.244064
-59.515198,-67.515198,46.051369,38.051369
-57.807068,-65.807068,46.824829,38.824829
-55.726868,-63.726868,47.766762,39.766762
-54.159698,-62.159698,48.237423,40.237423
-52.327606,-60.327606,49.068367,41.068367
-50.303284,-58.303284,49.836716,41.836716
-47.581024,-55.581024,50.939327,42.939327
-43.990936,-51.990936,52.349072,44.349072
-40.481415,-48.481415,53.382954,45.382954
-36.706757,-44.706757,54.608639,46.608639
-31.778717,-39.778717,56.135536,48.135536
-25.725922,-33.725922,58.149895,50.149895
-21.805542,-29.805542,58.678921,50.678921
-18.729492,-26.729492,58.964596,50.964596
-15.555756,-23.555756,59.174137,51.174137
-12.185547,-20.185547,59.272533,51.272533
-8.832855,-16.832855,59.344296,51.344296
-5.611206,-13.611206,59.587425,51.587425
-2.390167,-10.390167,59.630047,51.630047
1.126709,-6.873291,59.379753,51.379753
4.220011,-3.779989,59.022064,51.022064
6.684258,-1.315742,58.911018,50.911018
8.66996,0.66996,58.886784,50.886784
10.657051,2.657051,58.882183,50.882183
13.227633,5.227633,58.854958,50.854958
16.684461,8.684461,58.862198,50.862198
20.060617,12.060617,58.827076,50.827076
22.573156,14.573156,58.757618,50.757618
24.814459,16.814459,58.674259,50.674259
26.896973,18.896973,58.560238,50.560238
29.347198,21.347198,58.734653,50.734653
31.639153,23.639153,59.053665,51.053665
33.389433,25.389433,59.187237,51.187237
35.448341,27.448341,59.341183,51.341183
37.066063,29.066063,60.257404,52.257404
38.322762,30.322762,60.973236,52.973236
39.886578,31.886578,61.616783,53.616783
40.856968,32.856968,62.922009,54.922009
41.880318,33.880318,64.105129,56.105129
42.853584,34.853584,65.307728,57.307728
44.499901,36.499901,66.26289,58.26289
45.562992,37.562992,67.055676,59.055676
46.684467,38.684467,67.504917,59.504917
47.092999,39.092999,68.482025,60.482025
47.464672,39.464672,69.165939,61.165939
48.102295,40.102295,69.850319,61.850319
48.147736,40.147736,70.31778,62.31778
47.997459,39.997459,71.012276,63.012276
