,lon_west,lat_north,lat_south,step
283.57019,275.57019,51.192966,43.192966,0.0
283.676401,275.676401,51.305899,43.305899,1.0
283.782613,275.782613,51.418832,43.418832,2.0
283.888824,275.888824,51.531765,43.531765,3.0
284.150299,276.150299,51.555801,43.555801,4.0
284.411773,276.411773,51.579838,43.579838,5.0
284.673248,276.673248,51.603874,43.603874,6.0
284.936208,276.936208,51.641462,43.641462,7.0
285.199168,277.199168,51.679049,43.679049,8.0
285.462128,277.462128,51.716637,43.716637,9.0
285.839864,277.839864,51.693928,43.693928,10.0
286.217601,278.217601,51.671219,43.671219,11.0
286.595337,278.595337,51.64851,43.64851,12.0
286.941915,278.941915,51.650743,43.650743,13.0
287.288493,279.288493,51.652976,43.652976,14.0
287.635071,279.635071,51.655209,43.655209,15.0
288.010244,280.010244,51.622586,43.622586,16.0
288.385417,280.385417,51.589962,43.589962,17.0
288.76059,280.76059,51.557339,43.557339,18.0
289.334147,281.334147,51.569133,43.569133,19.0
289.907705,281.907705,51.580926,43.580926,20.0
290.481262,282.481262,51.59272,43.59272,21.0
291.306793,283.306793,51.534121,43.534121,22.0
292.132324,284.132324,51.475523,43.475523,23.0
292.957855,284.957855,51.416924,43.416924,24.0
295.197011,287.197011,51.48934,43.48934,25.0
297.436167,289.436167,51.561755,43.561755,26.0
299.675323,291.675323,51.634171,43.634171,27.0
300.402537,292.402537,51.661278,43.661278,28.0
301.12975,293.12975,51.688385,43.688385,29.0
301.856964,293.856964,51.715492,43.715492,30.0
302.576253,294.576253,51.776499,43.776499,31.0
303.295543,295.295543,51.837507,43.837507,32.0
304.014832,296.014832,51.898514,43.898514,33.0
304.677023,296.677023,51.932465,43.932465,34.0
305.339213,297.339213,51.966415,43.966415,35.0
306.001404,298.001404,52.000366,44.000366,36.0
306.655579,298.655579,51.976626,43.976626,37.0
307.309753,299.309753,51.952886,43.952886,38.0
307.963928,299.963928,51.929146,43.929146,39.0
309.15863,301.15863,51.887549,43.887549,40.0
310.353333,302.353333,51.845953,43.845953,41.0
311.548035,303.548035,51.804356,43.804356,42.0
312.868764,304.868764,51.820406,43.820406,43.0
314.189494,306.189494,51.836455,43.836455,44.0
315.510223,307.510223,51.852505,43.852505,45.0
316.889994,308.889994,51.84914,43.84914,46.0
318.269765,310.269765,51.845776,43.845776,47.0
319.649536,311.649536,51.842411,43.842411,48.0
320.826589,312.826589,51.833299,43.833299,49.0
322.003642,314.003642,51.824187,43.824187,50.0
323.180695,315.180695,51.815075,43.815075,51.0
324.484996,316.484996,51.956595,43.956595,52.0
325.789296,317.789296,52.098115,44.098115,53.0
327.093597,319.093597,52.239635,44.239635,54.0
328.524556,320.524556,52.336798,44.336798,55.0
329.955516,321.955516,52.433961,44.433961,56.0
331.386475,323.386475,52.531124,44.531124,57.0
332.99114,324.99114,52.757484,44.757484,58.0
334.595805,326.595805,52.983845,44.983845,59.0
336.20047,328.20047,53.210205,45.210205,60.0
337.691345,329.691345,53.519456,45.519456,61.0
339.182221,331.182221,53.828708,45.828708,62.0
340.673096,332.673096,54.137959,46.137959,63.0
342.142914,334.142914,54.474678,46.474678,64.0
343.612732,335.612732,54.811398,46.811398,65.0
345.08255,337.08255,55.148117,47.148117,66.0
346.250468,338.250468,55.495383,47.495383,67.0
347.418386,339.418386,55.842649,47.842649,68.0
348.586304,340.586304,56.189915,48.189915,69.0
