,lon_west,lat_north,lat_south,step
319.033417,311.033417,40.136368,32.136368,0.0
319.302338,311.302338,40.077021,32.077021,1.0
319.571258,311.571258,40.017675,32.017675,2.0
319.840179,311.840179,39.958328,31.958328,3.0
320.214762,312.214762,40.155655,32.155655,4.0
320.589345,312.589345,40.352981,32.352981,5.0
320.963928,312.963928,40.550308,32.550308,6.0
321.38211,313.38211,40.723905,32.723905,7.0
321.800293,313.800293,40.897501,32.897501,8.0
322.218475,314.218475,41.071098,33.071098,9.0
322.655924,314.655924,41.210429,33.210429,10.0
323.093374,315.093374,41.349759,33.349759,11.0
323.530823,315.530823,41.48909,33.48909,12.0
323.79184,315.79184,41.545453,33.545453,13.0
324.052856,316.052856,41.601817,33.601817,14.0
324.313873,316.313873,41.65818,33.65818,15.0
324.761078,316.761078,41.945946,33.945946,16.0
325.208282,317.208282,42.233711,34.233711,17.0
325.655487,317.655487,42.521477,34.521477,18.0
326.010671,318.010671,42.642641,34.642641,19.0
326.365855,318.365855,42.763804,34.763804,20.0
326.721039,318.721039,42.884968,34.884968,21.0
327.112345,319.112345,43.147762,35.147762,22.0
327.503652,319.503652,43.410557,35.410557,23.0
327.894958,319.894958,43.673351,35.673351,24.0
328.309428,320.309428,43.862275,35.862275,25.0
328.723897,320.723897,44.0512,36.0512,26.0
329.138367,321.138367,44.240124,36.240124,27.0
329.638092,321.638092,44.725315,36.725315,28.0
330.137818,322.137818,45.210507,37.210507,29.0
330.637543,322.637543,45.695698,37.695698,30.0
331.568563,323.568563,47.038199,39.038199,31.0
332.499583,324.499583,48.380701,40.380701,32.0
333.430603,325.430603,49.723202,41.723202,33.0
334.29659,326.29659,50.689274,42.689274,34.0
335.162577,327.162577,51.655346,43.655346,35.0
336.028564,328.028564,52.621418,44.621418,36.0
336.869334,328.869334,53.329538,45.329538,37.0
337.710103,329.710103,54.037657,46.037657,38.0
338.550873,330.550873,54.745777,46.745777,39.0
339.210622,331.210622,55.213943,47.213943,40.0
339.870372,331.870372,55.68211,47.68211,41.0
340.530121,332.530121,56.150276,48.150276,42.0
341.35673,333.35673,56.744789,48.744789,43.0
342.18334,334.18334,57.339302,49.339302,44.0
343.009949,335.009949,57.933815,49.933815,45.0
343.809133,335.809133,58.481206,50.481206,46.0
344.608317,336.608317,59.028598,51.028598,47.0
345.407501,337.407501,59.575989,51.575989,48.0
346.337026,338.337026,60.139932,52.139932,49.0
347.26655,339.26655,60.703875,52.703875,50.0
348.196075,340.196075,61.267818,53.267818,51.0
349.517883,341.517883,62.124281,54.124281,52.0
350.839691,342.839691,62.980745,54.980745,53.0
352.161499,344.161499,63.837208,55.837208,54.0
