,lon_west,lat_north,lat_south,step
318.063141,310.063141,45.128628,37.128628,0.0
318.48114,310.48114,45.300498,37.300498,1.0
318.89914,310.89914,45.472368,37.472368,2.0
319.317139,311.317139,45.644238,37.644238,3.0
319.851135,311.851135,45.836619,37.836619,4.0
320.385132,312.385132,46.029001,38.029001,5.0
320.919128,312.919128,46.221382,38.221382,6.0
321.384867,313.384867,46.556413,38.556413,7.0
321.850606,313.850606,46.891444,38.891444,8.0
322.316345,314.316345,47.226475,39.226475,9.0
323.088114,315.088114,47.703432,39.703432,10.0
323.859884,315.859884,48.180388,40.180388,11.0
324.631653,316.631653,48.657345,40.657345,12.0
325.816488,317.816488,49.169136,41.169136,13.0
327.001322,319.001322,49.680928,41.680928,14.0
328.186157,320.186157,50.192719,42.192719,15.0
329.113505,321.113505,50.640372,42.640372,16.0
330.040853,322.040853,51.088026,43.088026,17.0
330.968201,322.968201,51.535679,43.535679,18.0
331.894064,323.894064,51.940735,43.940735,19.0
332.819926,324.819926,52.345791,44.345791,20.0
333.745789,325.745789,52.750847,44.750847,21.0
334.979767,326.979767,53.733523,45.733523,22.0
336.213745,328.213745,54.716199,46.716199,23.0
337.447723,329.447723,55.698875,47.698875,24.0
338.96171,330.96171,56.144694,48.144694,25.0
340.475698,332.475698,56.590512,48.590512,26.0
341.989685,333.989685,57.036331,49.036331,27.0
343.602193,335.602193,57.723923,49.723923,28.0
345.214701,337.214701,58.411514,50.411514,29.0
346.827209,338.827209,59.099106,51.099106,30.0
348.412485,340.412485,59.673906,51.673906,31.0
