,lon_west,lat_north,lat_south,step
274.049377,266.049377,48.798851,40.798851,0.0
274.609771,266.609771,48.810795,40.810795,1.0
275.170166,267.170166,48.822738,40.822738,2.0
275.73056,267.73056,48.834682,40.834682,3.0
275.76359,267.76359,49.117552,41.117552,4.0
275.796621,267.796621,49.400422,41.400422,5.0
275.829651,267.829651,49.683292,41.683292,6.0
276.148773,268.148773,49.707677,41.707677,7.0
276.467896,268.467896,49.732062,41.732062,8.0
276.787018,268.787018,49.756447,41.756447,9.0
277.32253,269.32253,49.682891,41.682891,10.0
277.858043,269.858043,49.609334,41.609334,11.0
278.393555,270.393555,49.535778,41.535778,12.0
279.07901,271.07901,49.435856,41.435856,13.0
279.764466,271.764466,49.335934,41.335934,14.0
280.449921,272.449921,49.236012,41.236012,15.0
281.132904,273.132904,49.096056,41.096056,16.0
281.815888,273.815888,48.956099,40.956099,17.0
282.498871,274.498871,48.816143,40.816143,18.0
283.281688,275.281688,48.811506,40.811506,19.0
284.064504,276.064504,48.806868,40.806868,20.0
284.847321,276.847321,48.802231,40.802231,21.0
285.987295,277.987295,48.854993,40.854993,22.0
287.127268,279.127268,48.907756,40.907756,23.0
288.267242,280.267242,48.960518,40.960518,24.0
289.371317,281.371317,48.90786,40.90786,25.0
290.475393,282.475393,48.855202,40.855202,26.0
291.579468,283.579468,48.802544,40.802544,27.0
292.571594,284.571594,48.713057,40.713057,28.0
293.563721,285.563721,48.623571,40.623571,29.0
294.555847,286.555847,48.534084,40.534084,30.0
295.513458,287.513458,48.58972,40.58972,31.0
296.471069,288.471069,48.645357,40.645357,32.0
297.42868,289.42868,48.700993,40.700993,33.0
298.476043,290.476043,48.878018,40.878018,34.0
299.523407,291.523407,49.055042,41.055042,35.0
300.57077,292.57077,49.232067,41.232067,36.0
301.460612,293.460612,49.413142,41.413142,37.0
302.350453,294.350453,49.594216,41.594216,38.0
303.240295,295.240295,49.775291,41.775291,39.0
304.259938,296.259938,49.965131,41.965131,40.0
305.279582,297.279582,50.15497,42.15497,41.0
306.299225,298.299225,50.34481,42.34481,42.0
307.322947,299.322947,50.797757,42.797757,43.0
308.34667,300.34667,51.250704,43.250704,44.0
309.370392,301.370392,51.703651,43.703651,45.0
310.460582,302.460582,52.332913,44.332913,46.0
311.550771,303.550771,52.962176,44.962176,47.0
312.640961,304.640961,53.591438,45.591438,48.0
313.60379,305.60379,54.073153,46.073153,49.0
314.56662,306.56662,54.554868,46.554868,50.0
315.529449,307.529449,55.036583,47.036583,51.0
316.427134,308.427134,55.615603,47.615603,52.0
317.324819,309.324819,56.194623,48.194623,53.0
318.222504,310.222504,56.773643,48.773643,54.0
319.074707,311.074707,57.215194,49.215194,55.0
319.926911,311.926911,57.656746,49.656746,56.0
320.779114,312.779114,58.098297,50.098297,57.0
321.73351,313.73351,58.54049,50.54049,58.0
322.687907,314.687907,58.982684,50.982684,59.0
323.642303,315.642303,59.424877,51.424877,60.0
324.605265,316.605265,59.840295,51.840295,61.0
325.568227,317.568227,60.255713,52.255713,62.0
326.531189,318.531189,60.671131,52.671131,63.0
327.514618,319.514618,60.977835,52.977835,64.0
328.498047,320.498047,61.28454,53.28454,65.0
329.481476,321.481476,61.591244,53.591244,66.0
330.277669,322.277669,61.911717,53.911717,67.0
331.073863,323.073863,62.232189,54.232189,68.0
331.870056,323.870056,62.552662,54.552662,69.0
332.724335,324.724335,62.827381,54.827381,70.0
333.578613,325.578613,63.102101,55.102101,71.0
334.432892,326.432892,63.37682,55.37682,72.0
335.180857,327.180857,63.570891,55.570891,73.0
335.928823,327.928823,63.764963,55.764963,74.0
336.676788,328.676788,63.959034,55.959034,75.0
336.989502,328.989502,63.98657,55.98657,76.0
337.302215,329.302215,64.014105,56.014105,77.0
337.614929,329.614929,64.041641,56.041641,78.0
337.858978,329.858978,64.045811,56.045811,79.0
338.103027,330.103027,64.04998,56.04998,80.0
338.347076,330.347076,64.05415,56.05415,81.0
338.70459,330.70459,64.008201,56.008201,82.0
339.062103,331.062103,63.962251,55.962251,83.0
339.419617,331.419617,63.916302,55.916302,84.0
340.047191,332.047191,63.86423,55.86423,85.0
340.674764,332.674764,63.812158,55.812158,86.0
341.302338,333.302338,63.760086,55.760086,87.0
342.301392,334.301392,63.700757,55.700757,88.0
343.300446,335.300446,63.641429,55.641429,89.0
344.2995,336.2995,63.5821,55.5821,90.0
346.53774,338.53774,63.77673,55.77673,91.0
348.775981,340.775981,63.971359,55.971359,92.0
351.014221,343.014221,64.165989,56.165989,93.0
352.410583,344.410583,64.326959,56.326959,94.0
